Theta,Power
355.3165,0.000309
354.526,0.000306
353.404,0.000299
0.09100000000000019,0.000292
1.8886000000000003,0.000283
3.6504000000000003,0.000276
5.449999999999999,0.000272
8.123,0.000272
9.9047,0.000274
11.6514,0.000277
13.405999999999999,0.000286
15.157,0.000298
16.868,0.000313
18.6537,0.000332
20.404,0.000343
22.406,0.000381
24.396,0.00041
26.1785,0.000441
28.871000000000002,0.000475
30.636699999999998,0.000513
32.398,0.000553
34.159,0.000595
36.0283,0.000639
38.4235,0.000662
39.93,0.00071
41.894,0.000758
43.6256,0.000808
45.4066,0.000833
47.137,0.000884
48.846,0.000936
50.5347,0.000988
52.291,0.001041
53.8837,0.001067
56.3566,0.00112
58.051,0.001171
59.771,0.001222
61.5476,0.001272
63.1537,0.00132
65.6317,0.001367
67.372,0.00139
69.1235,0.001434
70.899,0.001477
72.885,0.001518
74.8876,0.001556
76.8937,0.001591
78.8905,0.001623
80.892,0.001652
82.5286,0.001678
85.1145,0.001702
87.168,0.001723
88.898,0.001741
90.6286,0.001754
92.641,0.001765
95.3425,0.001772
97.099,0.001775
98.8655,0.001774
100.6315,0.001771
102.638,0.001764
104.4916,0.001752
106.39,0.001738
108.2636,0.00172
110.87,0.001698
112.6155,0.001674
114.377,0.00166
116.383,0.001614
118.3796,0.001581
120.3857,0.001545
122.3767,0.001506
124.37970000000001,0.001465
126.1097,0.001421
128.853,0.001374
130.6095,0.001327
132.386,0.001278
134.9395,0.001229
136.8497,0.001178
137.775,0.001152
140.15,0.001101
141.887,0.001049
143.621,0.000995
145.3664,0.000942
147.1183,0.000916
149.121,0.000864
150.8653,0.000812
152.616,0.000763
154.372,0.000714
156.3685,0.00069
158.191,0.000643
160.109,0.000598
162.1315,0.000556
163.867,0.000515
165.7363,0.000477
167.8706,0.000443
169.8616,0.000411
172.5704,0.000382
173.5123,0.000356
176.1185,0.000333
177.8683,0.000314
179.875,0.000298
181.6,0.000286
184.3695,0.000278
186.115,0.000274
187.63,0.000273
189.6116,0.000276
191.6136,0.000282
193.6264,0.000292
195.3653,0.000306
197.1104,0.000315
199.4057,0.000334
201.104,0.000356
202.844,0.000382
204.6056,0.000411
206.618,0.000443
208.3375,0.000478
210.1144,0.000515
211.978,0.000535
214.5564,0.000576
215.473,0.00062
217.239,0.000665
219.8303,0.000712
221.596,0.000761
223.356,0.00081
225.3527,0.000861
227.1353,0.000912
229.833,0.000965
231.594,0.001017
233.345,0.001044
235.089,0.001096
236.84,0.001148
238.5864,0.001199
240.3315,0.001224
242.114,0.001273
243.8697,0.001322
245.584,0.001369
247.35,0.001414
249.1003,0.001436
251.0965,0.001479
252.85829999999999,0.00152
254.58300000000003,0.001558
256.3444,0.001593
258.0963,0.001609
259.8456,0.00164
261.592,0.001668
263.348,0.001692
265.093,0.001704
266.8484,0.001724
268.846,0.001741
271.3185,0.001754
273.079,0.001764
274.839,0.001771
276.8513,0.001774
278.8476,0.001773
280.768,0.001769
282.55,0.001762
284.5913,0.00175
286.337,0.001736
287.853,0.001727
289.609,0.001707
291.595,0.001684
293.5914,0.001658
295.506,0.001628
298.06,0.001595
299.831,0.001561
301.593,0.001523
303.599,0.001483
305.591,0.00144
307.295,0.001396
309.9325,0.001349
311.825,0.001301
313.5676,0.001252
315.332,0.001202
317.3433,0.00115
319.3405,0.001098
321.3367,0.001045
323.339,0.000993
325.3307,0.00094
327.336,0.000888
329.102,0.000836
331.5954,0.000811
333.3166,0.000737
335.078,0.000713
336.8073,0.000666
338.834,0.00062
340.5856,0.000576
342.3094,0.000535
344.0863,0.000515
346.089,0.000477
348.5444,0.000442
350.3104,0.00041
351.957,0.000382
353.471,0.000358
354.595,0.000339
355.517,0.000326
355.8937,0.000318
355.997,0.000313
