Position,Power
0.6647,0.0006
1.341,0.0007
2.286,0.0009
4.3123,0.0012
5.8527,0.0016
7.5936,0.0023
10.0753,0.003
11.724,0.0039
13.3577,0.0049
15.9327,0.0059
17.5705,0.0071
19.4333,0.0084
21.922,0.0098
23.544,0.0112
24.4144,0.0127
27.558,0.0143
29.2044,0.0159
31.665,0.0176
33.373,0.0193
35.0513,0.0211
37.5586,0.0229
39.162,0.0247
41.6817,0.0265
43.417,0.0283
45.0693,0.0292
46.907,0.031
49.4113,0.0328
51.1715,0.0345
53.5933,0.0362
55.2936,0.0378
56.906,0.0394
59.5314,0.0409
61.1557,0.0423
62.8893,0.0437
65.4586,0.045
67.2516,0.0462
68.9045,0.0473
71.3946,0.0483
73.061,0.0492
74.694,0.05
76.648,0.0507
79.2976,0.0512
81.026,0.0517
82.634,0.0519
85.1273,0.0521
86.7756,0.0522
89.294,0.0521
91.3686,0.0519
93.025,0.0516
94.731,0.0511
96.5227,0.0505
98.9945,0.0499
100.5865,0.0491
103.014,0.0482
104.769,0.0472
106.398,0.046
108.8807,0.0448
110.4883,0.0435
113.088,0.0421
114.7917,0.0406
116.409,0.0391
119.0123,0.0375
120.7564,0.0358
122.4666,0.0341
124.1237,0.0324
126.632,0.0306
128.343,0.0288
130.7593,0.0269
132.634,0.0251
134.259,0.0233
136.744,0.0215
138.366,0.0197
140.752,0.018
142.389,0.0163
144.0993,0.0146
146.6586,0.0138
148.3693,0.0122
150.114,0.0107
151.6663,0.0093
154.184,0.008
155.867,0.0067
158.3613,0.0056
159.8814,0.0045
162.498,0.0036
164.0327,0.0027
166.5837,0.002
168.241,0.0014
169.93,0.0009
171.7685,0.0006
174.246,0.0003
175.884,0.0002
177.502,0.0002
180.016,0.0004
181.638,0.0007
184.2083,0.0011
185.7326,0.0016
187.355,0.0023
190.065,0.003
191.902,0.0039
193.525,0.0049
195.239,0.006
197.779,0.0071
199.375,0.0084
201.8533,0.0098
203.589,0.0113
205.975,0.0128
207.5924,0.0143
209.2187,0.016
211.688,0.0177
213.3304,0.0194
215.8335,0.0212
217.476,0.023
219.842,0.0248
221.4653,0.0266
223.8605,0.0284
225.5655,0.0302
227.233,0.032
229.746,0.0337
231.4624,0.0355
233.222,0.0371
235.1116,0.0388
237.61,0.0403
239.177,0.0418
240.9684,0.0432
243.467,0.0446
245.084,0.0458
247.6436,0.0464
249.3173,0.0475
250.9713,0.0484
253.577,0.0493
255.2096,0.0501
256.8276,0.0508
258.631,0.0513
261.209,0.0517
262.924,0.052
265.3714,0.0521
266.973,0.0522
269.2784,0.0521
271.002,0.0519
272.631,0.0515
275.063,0.0511
276.72,0.0505
279.275,0.0498
281.0055,0.049
282.6027,0.048
285.02,0.047
286.801,0.0459
288.443,0.0446
290.251,0.0433
292.733,0.0419
294.382,0.0404
296.9413,0.0389
298.6703,0.0373
300.417,0.0356
302.9664,0.0339
304.666,0.0322
306.373,0.0304
308.936,0.0286
310.5574,0.0268
312.3036,0.025
314.7874,0.0232
316.3064,0.0215
318.7433,0.0197
320.4415,0.018
322.9113,0.0163
324.6804,0.0146
326.309,0.013
328.0075,0.0115
330.4304,0.01
332.0526,0.0087
334.5515,0.0074
336.2466,0.0062
338.6564,0.0051
340.2843,0.0041
342.782,0.0032
344.6414,0.0024
346.269,0.0017
348.69,0.0012
350.306,0.0007
352.698,0.0004
354.31,0.0003
355.929,0.0002
357.7157,0.0003
358.613,0.0003
359.3327,0.0004
359.934,0.0005
0.001,0.0005
