Position,Power
0.447,0.016
1.0783,0.016
2.562,0.0161
3.824,0.0162
5.3593,0.0162
7.0716,0.0163
9.76,0.0162
11.6485,0.0162
13.348,0.0161
15.7696,0.016
17.392,0.0158
19.0343,0.0156
21.6816,0.0154
23.3507,0.0151
26.0017,0.0148
27.5176,0.0145
29.887,0.0141
31.5054,0.0137
33.1687,0.0133
35.6426,0.0129
37.4377,0.0124
39.2917,0.0118
40.923,0.0113
43.483,0.0108
45.1115,0.0103
46.858,0.0097
49.33,0.0092
50.9777,0.0086
52.637,0.008
55.176,0.0075
56.7986,0.0069
58.3645,0.0063
60.014,0.0061
62.717,0.0055
64.3745,0.005
65.9816,0.0045
68.363,0.004
70.011,0.0035
71.767,0.003
74.194,0.0026
75.8725,0.0022
77.5514,0.0018
79.252,0.0015
81.13,0.0013
83.6547,0.001
85.282,0.0006
87.908,0.0004
89.5667,0.0003
91.2597,0.0001
93.742,0.0
95.3923,0.0
97.173,0.0
99.747,0.0
101.412,0.0
103.1015,0.0001
104.77,0.0002
106.455,0.0004
109.121,0.0006
110.734,0.0008
113.1034,0.0011
114.671,0.0012
116.35,0.0015
118.065,0.0019
119.702,0.0022
121.4935,0.0026
124.0945,0.0031
125.7224,0.0033
127.4175,0.0038
128.994,0.0043
131.411,0.0048
133.166,0.0053
134.818,0.0058
137.3683,0.0064
139.012,0.007
140.655,0.0075
143.3674,0.0081
145.041,0.0087
146.6654,0.0092
148.478,0.0098
151.164,0.0103
152.787,0.0109
155.312,0.0114
156.9475,0.0119
158.551,0.0124
160.972,0.0129
162.592,0.0133
164.3723,0.0137
167.09,0.0141
168.75,0.0145
171.1845,0.0148
173.064,0.0151
174.883,0.0154
176.832,0.0156
178.4286,0.0158
180.18,0.0159
182.923,0.0161
184.4855,0.0161
186.9474,0.0162
188.539,0.0162
191.012,0.0161
192.957,0.016
194.656,0.0159
196.3715,0.0157
198.122,0.0155
200.7114,0.0153
202.463,0.015
204.1115,0.0149
205.899,0.0146
208.49,0.0142
210.3965,0.0139
212.021,0.0135
214.499,0.0131
216.2846,0.0126
217.9443,0.0121
220.4104,0.0116
222.0393,0.0111
223.7376,0.0105
226.237,0.01
227.9774,0.0094
229.7017,0.0088
231.315,0.0082
233.793,0.008
235.406,0.0074
237.068,0.0068
238.7737,0.0063
241.307,0.0057
243.022,0.0052
244.7217,0.0047
246.636,0.0042
249.2204,0.0037
251.1823,0.0033
252.8815,0.0028
254.56,0.0024
256.3207,0.002
258.1044,0.0018
259.893,0.0015
262.56,0.0012
264.246,0.0009
265.868,0.0007
267.5577,0.0005
270.21,0.0003
271.838,0.0001
273.5786,0.0001
276.221,0.0
277.843,0.0
279.45,0.0
281.907,0.0001
283.54,0.0002
286.0695,0.0003
287.6927,0.0004
289.334,0.0007
291.116,0.0009
293.825,0.0012
295.358,0.0015
297.8384,0.0019
299.5877,0.0022
301.2833,0.0026
303.674,0.0031
305.393,0.0033
307.037,0.0037
309.572,0.0042
311.218,0.0047
313.8044,0.0053
314.5873,0.0058
317.1513,0.0064
319.517,0.0069
321.2787,0.0075
322.912,0.008
325.374,0.0086
326.996,0.0092
328.598,0.0097
331.291,0.0103
333.006,0.0108
334.6593,0.0114
337.3567,0.0119
339.0257,0.0124
340.66,0.0128
343.418,0.0133
345.1227,0.0137
347.6154,0.0141
349.264,0.0145
350.9634,0.0148
352.5866,0.0151
355.0173,0.0154
356.415,0.0156
357.606,0.0157
358.575,0.0158
359.317,0.0159
359.803,0.0159
0.002,0.0159
