Theta,Power
theta,W
,91mA
0.478,0.0222
1.478,0.0222
2.44,0.02187
4.3883,0.02147
6.016,0.02138
7.5405,0.02091
9.901,0.02063
12.302,0.02019
13.9396,0.0197
15.455,0.01923
17.2626,0.01868
19.8105,0.01807
21.44,0.01747
23.181,0.01685
25.504,0.01617
27.1066,0.0155
29.5586,0.0148
31.196,0.01408
32.85,0.01332
35.379,0.01257
37.027,0.01181
39.4386,0.01106
41.157,0.01031
43.707,0.00995
45.371,0.00922
47.106,0.00848
48.832,0.00777
51.335,0.00706
52.9687,0.00637
55.2457,0.0057
56.8544,0.00507
59.239,0.00446
60.8916,0.00389
63.2623,0.00336
64.978,0.00286
67.4246,0.0024
69.0467,0.00197
71.499,0.00159
73.157,0.00125
74.9093,0.00095
76.6273,0.00069
79.055,0.00049
80.636,0.00033
83.125,0.00021
84.894,0.00014
86.508,0.00012
88.2383,0.00015
90.721,0.00022
93.128,0.00034
94.755,0.0005
96.3836,0.00071
98.9784,0.00097
100.586,0.00126
102.9,0.0016
104.645,0.00199
106.3047,0.00241
108.7557,0.00287
110.399,0.00337
113.0247,0.0039
114.6537,0.00445
116.486,0.00505
118.001,0.00566
120.6225,0.0063
122.368,0.00697
124.062,0.00765
126.6736,0.00836
128.2854,0.00908
130.6556,0.0098
132.3195,0.01054
133.85,0.01128
136.3327,0.01201
137.9554,0.01275
140.5616,0.01347
142.2823,0.01419
144.0326,0.01489
146.503,0.01559
148.122,0.01592
149.8884,0.01658
152.499,0.01723
154.116,0.01781
155.7546,0.01838
158.2993,0.01891
159.9225,0.01939
162.425,0.01984
164.145,0.02024
165.886,0.0206
168.271,0.02091
170.011,0.02115
171.6555,0.02133
174.1424,0.02145
175.8276,0.02155
177.528,0.02158
180.014,0.02158
181.6375,0.02149
184.1047,0.02136
185.8347,0.02118
187.458,0.02095
189.9453,0.02066
191.5727,0.0203
193.298,0.01992
195.884,0.01948
197.6244,0.01899
199.3033,0.01846
201.766,0.01789
203.3947,0.0173
205.8915,0.01666
207.633,0.016
209.142,0.0153
211.6093,0.01457
213.2637,0.01385
215.7507,0.01311
217.358,0.01235
219.764,0.0116
221.3986,0.01083
222.99,0.01008
225.5035,0.00932
227.121,0.00857
228.7593,0.00784
231.236,0.00711
233.6326,0.00641
235.26,0.00573
236.9593,0.00508
239.432,0.00446
241.0497,0.00387
243.491,0.00359
245.2155,0.00306
246.8757,0.00257
249.3684,0.00212
251.0375,0.00171
252.7565,0.00134
255.331,0.00102
256.9766,0.00075
258.715,0.00053
261.2133,0.00036
262.8683,0.00023
264.5613,0.00016
267.0587,0.00014
268.714,0.00016
271.191,0.00024
272.8233,0.00037
274.463,0.00054
277.088,0.00077
278.711,0.00104
280.3434,0.00136
282.964,0.00172
284.592,0.00213
287.091,0.00257
288.83,0.00307
290.583,0.0036
293.1005,0.00417
294.82,0.00477
296.428,0.00539
298.8287,0.00605
300.493,0.00673
302.1975,0.00745
304.717,0.00818
306.3337,0.00892
308.8264,0.00969
310.5736,0.01046
312.1035,0.01123
314.489,0.012
316.239,0.01276
317.9697,0.01352
320.5843,0.01427
322.2033,0.01502
324.8033,0.01573
326.3296,0.01644
327.9476,0.01711
330.439,0.01773
331.98,0.01834
334.519,0.01889
336.21,0.01941
337.8365,0.01992
340.3244,0.02033
341.9367,0.02079
344.43,0.02111
346.1505,0.02124
347.8185,0.02163
350.2804,0.02176
352.0063,0.02219
353.6186,0.02223
356.05,0.02226
357.237,0.02226
358.69,0.02199
359.3483,0.02197
359.918,0.02214
0.002,0.02223
