Theta,Power
theta,W
-,123
351.719,0.00044
352.522,0.00041
353.62,0.00036
355.004,0.00032
357.5986,0.00029
359.458,0.00027
0.8460000000000001,0.00028
2.6424000000000003,0.00031
5.392000000000001,0.00037
7.218,0.00045
9.057000000000002,0.00056
10.9043,0.00068
12.727600000000002,0.00084
15.4864,0.00101
17.324,0.0012
19.1564,0.00141
21.941300000000002,0.00176
23.790000000000003,0.00201
25.638,0.00229
27.480999999999998,0.00257
29.293699999999998,0.00287
32.0317,0.00319
33.8643,0.0035
36.587,0.00383
38.44070000000001,0.00417
40.284000000000006,0.00452
42.1263,0.00487
44.8857,0.00539
46.723,0.00574
48.56100000000001,0.00609
50.368399999999994,0.00643
53.122600000000006,0.00676
54.935,0.00708
56.766999999999996,0.00741
58.5804,0.00771
61.31269999999999,0.00801
63.155,0.00829
64.9837,0.00857
66.795,0.00882
69.5397,0.00906
71.39739999999999,0.00928
73.226,0.00947
75.0626,0.00965
77.8116,0.00978
79.6296,0.00999
81.4513,0.01011
83.217,0.01016
85.9303,0.01023
87.76299999999999,0.01026
89.585,0.01026
91.4126,0.01024
94.136,0.0102
95.95349999999999,0.01013
97.767,0.01004
99.58749999999999,0.00991
102.318,0.00977
104.145,0.00962
105.9814,0.00945
107.815,0.00926
109.63199999999999,0.00904
112.3847,0.0088
114.2486,0.00855
116.0776,0.00827
118.831,0.00784
120.63199999999999,0.00753
122.456,0.00722
124.27749999999999,0.0069
127.01700000000001,0.00656
128.86960000000002,0.00623
130.64600000000002,0.00589
132.478,0.00553
134.3117,0.00518
137.04000000000002,0.00483
138.883,0.00448
140.72650000000002,0.00414
142.5695,0.0038
145.37900000000002,0.00347
147.13500000000002,0.00315
148.978,0.00284
151.717,0.00254
153.52470000000002,0.00211
155.34060000000002,0.00184
157.178,0.00159
159.92270000000002,0.00137
161.73450000000003,0.00116
163.577,0.00097
165.38940000000002,0.00081
167.1913,0.00066
169.941,0.00054
171.77300000000002,0.00044
173.6003,0.00036
175.4387,0.00031
178.1866,0.00028
180.01870000000002,0.00027
181.83700000000002,0.00029
184.597,0.00034
186.424,0.00041
188.27700000000002,0.00055
191.0265,0.00068
192.8794,0.00083
194.7277,0.001
196.5593,0.00119
199.2785,0.0014
201.126,0.00163
202.94850000000002,0.00188
204.79100000000003,0.00215
207.56650000000002,0.00243
209.399,0.00272
211.2365,0.00303
213.0686,0.00351
215.8035,0.00384
217.639,0.00418
219.478,0.00452
221.30100000000002,0.00486
223.119,0.00521
225.851,0.00556
227.684,0.00591
229.496,0.00626
231.323,0.0066
234.0834,0.00693
235.92700000000002,0.00725
237.74300000000002,0.00756
240.507,0.00787
242.336,0.00816
244.14700000000002,0.00843
245.959,0.0087
248.688,0.00894
250.5204,0.00928
252.36900000000003,0.00948
254.195,0.00965
256.03340000000003,0.00981
258.778,0.00995
260.60450000000003,0.01006
262.4377,0.01015
265.187,0.01021
267.0344,0.01025
268.8623,0.01027
270.6746,0.01026
273.408,0.01023
275.236,0.01017
277.063,0.01009
278.886,0.00999
280.73900000000003,0.00986
283.492,0.00971
285.346,0.00945
287.18350000000004,0.00925
289.891,0.00903
291.714,0.00879
293.5326,0.00853
295.342,0.00826
298.098,0.00798
299.93170000000003,0.00768
301.757,0.00737
303.6053,0.00705
305.434,0.00672
308.172,0.00638
310.0085,0.00605
311.842,0.0057
314.6026,0.00535
316.4285,0.005
318.272,0.00447
320.125,0.00413
321.947,0.00379
324.70660000000004,0.00346
326.534,0.00314
328.367,0.00283
330.1993,0.00254
332.943,0.00225
334.78700000000003,0.00198
336.593,0.00172
339.33750000000003,0.00148
341.165,0.00126
343.0074,0.00106
344.85,0.00089
346.54400000000004,0.00073
348.528,0.00062
349.478,0.00052
350.1327,0.00048
350.548,0.00046
351.0026,0.00046
