Theta,Power
theta,W
-,3.1V
351.4365,0.00926
352.3596,0.00926
353.351,0.00926
355.1513,0.00926
356.6484,0.00927
359.2333,0.00927
0.40500000000000114,0.00927
2.8315,0.00928
4.644300000000001,0.00929
6.302000000000001,0.0093
8.831500000000002,0.00929
10.567,0.00928
12.196000000000002,0.00927
14.565999999999999,0.00927
16.1886,0.00927
17.944,0.00927
20.404500000000002,0.00927
22.038,0.00927
24.701000000000004,0.00927
26.440500000000004,0.00927
28.069,0.00927
30.572599999999998,0.00927
32.191,0.00927
33.92060000000001,0.00927
36.525999999999996,0.00927
38.17400000000001,0.00927
39.931,0.00928
42.428,0.00928
44.05160000000001,0.00928
46.5386,0.00928
48.054500000000004,0.00929
49.8116,0.0093
51.525000000000006,0.00931
54.0436,0.00932
55.68249999999999,0.00931
58.175,0.0093
59.888999999999996,0.00929
62.3775,0.00929
63.9996,0.0093
65.8297,0.0093
68.29469999999999,0.00929
69.928,0.00929
72.4007,0.0093
74.0484,0.00929
75.678,0.00929
78.191,0.0093
79.8896,0.00931
81.431,0.00932
83.2173,0.00932
85.701,0.00931
87.416,0.00931
89.785,0.00931
91.545,0.00931
94.03399999999999,0.00931
95.77499999999999,0.00932
97.4746,0.00932
100.008,0.00932
101.627,0.00933
103.35,0.00933
105.0365,0.00933
107.615,0.00934
109.2576,0.00933
111.741,0.00932
113.2875,0.00932
115.104,0.00933
117.521,0.00933
119.23100000000001,0.00932
120.94599999999998,0.00932
123.419,0.00931
125.12249999999999,0.00931
127.58999999999999,0.00931
129.09560000000002,0.00931
130.727,0.0093
133.309,0.00929
134.997,0.0093
137.39350000000002,0.0093
139.139,0.0093
140.9463,0.0093
143.5103,0.00929
145.1533,0.0093
146.7354,0.00931
149.25930000000002,0.00931
151.0456,0.0093
152.80700000000002,0.0093
155.17340000000002,0.0093
156.78500000000003,0.0093
159.25650000000002,0.00929
160.9464,0.00928
162.7587,0.00928
165.2826,0.00928
166.9006,0.00927
168.548,0.00927
171.02530000000002,0.00927
172.644,0.00927
175.03500000000003,0.00926
176.6576,0.00926
178.29860000000002,0.00927
180.74300000000002,0.00926
182.502,0.00925
184.24450000000002,0.00926
186.8377,0.00926
188.53330000000003,0.00925
191.0004,0.00926
192.72500000000002,0.00926
194.45100000000002,0.00926
196.2983,0.00927
198.77630000000002,0.00927
200.5173,0.00927
202.12,0.00927
204.6587,0.00927
206.3694,0.00927
208.11450000000002,0.00927
209.762,0.00927
212.48700000000002,0.00928
214.222,0.00929
215.839,0.0093
218.3467,0.00929
220.732,0.0093
222.38750000000002,0.0093
224.0805,0.0093
225.7954,0.0093
228.303,0.0093
229.96300000000002,0.00928
232.4805,0.00929
234.16000000000003,0.00929
235.9833,0.00928
238.47,0.00927
240.0986,0.00927
241.8604,0.00928
243.48700000000002,0.00929
245.98000000000002,0.00929
247.5974,0.00929
250.12240000000003,0.00929
251.836,0.00929
254.23150000000004,0.00929
255.973,0.00929
258.444,0.00929
260.068,0.00928
261.711,0.00928
264.193,0.00928
265.9654,0.00929
267.717,0.00929
269.35360000000003,0.0093
271.9655,0.00929
273.71950000000004,0.00929
275.3484,0.0093
277.863,0.0093
279.4846,0.00929
281.9627,0.00929
283.6927,0.00929
285.45300000000003,0.00929
287.1954,0.00928
289.82,0.00927
291.464,0.00928
293.956,0.00928
295.713,0.0093
297.3406,0.0093
299.83840000000004,0.0093
301.446,0.0093
302.9755,0.0093
305.372,0.0093
307.7936,0.0093
309.49330000000003,0.0093
311.101,0.0093
312.846,0.00929
315.217,0.00929
317.663,0.0093
319.31100000000004,0.0093
320.9497,0.0093
323.422,0.0093
325.152,0.0093
326.8664,0.0093
329.3257,0.00929
331.08,0.00928
333.4603,0.00927
335.1705,0.00926
336.716,0.00926
339.2604,0.00926
340.96000000000004,0.00926
342.593,0.00925
345.08,0.00926
346.5826,0.00925
348.36400000000003,0.00925
349.269,0.00925
349.957,0.00925
350.49940000000004,0.00925
351.0026,0.00925
