Theta,Power
theta,W
-,
351.707,0.00511
352.5175,0.0051
353.6234,0.00509
355.0325,0.00507
357.681,0.00505
359.505,0.00502
0.9035000000000011,0.005
2.7445000000000004,0.00498
4.572000000000001,0.00496
7.351600000000001,0.00494
9.176000000000002,0.00492
11.012700000000002,0.0049
12.8594,0.00489
15.605,0.00487
17.447,0.00486
19.2845,0.00484
22.023600000000002,0.00484
23.858,0.00483
25.678,0.00482
27.5204,0.00482
29.354000000000003,0.00481
32.0984,0.00481
33.9404,0.00481
35.7636,0.00482
38.5235,0.00482
40.355000000000004,0.00483
42.19200000000001,0.00484
44.01050000000001,0.00484
46.769999999999996,0.00486
48.585300000000004,0.00487
50.415000000000006,0.00489
52.268,0.00491
54.11,0.00493
56.852999999999994,0.00495
58.6606,0.00497
60.49849999999999,0.00499
63.262,0.00501
65.101,0.00504
66.949,0.00506
68.8073,0.00508
71.5286,0.00511
73.3634,0.00513
75.1746,0.00515
77.928,0.00518
79.741,0.00522
81.574,0.00524
83.447,0.00526
85.23949999999999,0.00528
87.9833,0.00531
89.821,0.00533
91.6584,0.00535
94.4235,0.00537
96.25569999999999,0.00539
98.073,0.00541
99.9256,0.00543
102.675,0.00544
104.497,0.00545
106.3096,0.00546
108.15299999999999,0.00548
110.0166,0.00549
112.75399999999999,0.0055
114.5924,0.00551
116.4506,0.00551
119.19949999999999,0.00552
121.01700000000001,0.00552
122.854,0.00552
124.6724,0.00552
126.51,0.00551
129.28400000000002,0.00552
131.1116,0.0055
132.94,0.00549
135.708,0.00548
137.536,0.00547
139.3647,0.00546
141.20260000000002,0.00544
143.0295,0.00542
145.8086,0.00541
147.66160000000002,0.00539
149.519,0.00537
152.27900000000002,0.00535
154.101,0.00532
155.93900000000002,0.0053
157.76760000000002,0.00528
159.61700000000002,0.00525
162.3544,0.00523
164.191,0.00521
166.02,0.00519
167.83100000000002,0.00517
170.59040000000002,0.00515
172.4084,0.00512
174.245,0.00508
176.994,0.00506
178.812,0.00504
180.63860000000003,0.00503
182.4717,0.00499
185.21130000000002,0.00499
187.04340000000002,0.00496
188.87900000000002,0.00494
190.69830000000002,0.00492
192.526,0.00491
195.275,0.00489
197.1073,0.00488
198.965,0.00487
201.715,0.00486
203.573,0.00485
205.4146,0.00484
207.24900000000002,0.00485
209.0757,0.00484
211.83550000000002,0.00484
213.67340000000002,0.00484
215.5107,0.00484
218.24900000000002,0.00485
220.08550000000002,0.00485
221.93,0.00486
223.78900000000002,0.00487
225.64200000000002,0.00488
228.42700000000002,0.0049
230.27540000000002,0.00491
232.091,0.00493
234.86100000000002,0.00495
236.66830000000002,0.00496
238.531,0.00498
240.3737,0.005
242.221,0.00503
244.972,0.00506
246.81029999999998,0.00508
248.65300000000002,0.0051
251.4013,0.00512
253.2235,0.00514
255.06100000000004,0.00517
256.8877,0.00519
259.6684,0.00521
261.49170000000004,0.00523
263.3394,0.00526
265.17,0.00528
267.906,0.00532
269.732,0.00534
271.56440000000003,0.00536
273.3976,0.00538
276.13100000000003,0.0054
277.97860000000003,0.00541
279.797,0.00543
281.64,0.00545
284.4303,0.00546
286.2505,0.00547
288.0894,0.00548
289.9074,0.00549
292.6923,0.0055
294.519,0.0055
296.377,0.00551
299.168,0.00551
300.9954,0.00551
302.8447,0.00551
304.6607,0.00551
306.488,0.0055
309.242,0.00551
311.0645,0.0055
312.911,0.00549
315.6617,0.00548
317.5204,0.00547
319.3587,0.00545
321.195,0.00543
323.9434,0.00542
325.767,0.0054
327.6035,0.00538
329.4273,0.00535
331.228,0.00533
333.9807,0.00532
335.836,0.00529
337.6793,0.00527
340.43350000000004,0.00525
342.281,0.00523
344.1436,0.00521
345.945,0.00518
348.0865,0.00516
349.1643,0.00514
349.9196,0.00512
350.3833,0.00511
351.0026,0.00511
