Theta,Power
356.7293,0.0001321
357.49,0.000132
358.4807,0.0001319
359.7444,0.0001317
2.0423,0.0001315
3.5620000000000003,0.0001313
6.0196000000000005,0.0001312
7.5760000000000005,0.0001311
9.316,0.0001311
11.9275,0.0001313
13.663,0.0001315
16.0334,0.0001318
17.656,0.0001322
19.3653,0.0001327
21.792,0.0001333
23.4254,0.0001339
25.9134,0.0001346
27.556,0.0001353
29.162399999999998,0.0001362
31.6926,0.000137
33.4075,0.000138
35.056,0.0001389
37.4056,0.0001399
39.044,0.000141
41.531,0.000142
43.1583,0.0001431
44.812,0.0001443
47.3976,0.0001448
49.1844,0.000146
50.8123,0.0001472
53.3357,0.0001484
55.086,0.0001496
57.5594,0.0001508
59.181,0.000152
60.825,0.0001531
63.3844,0.0001543
65.052,0.0001554
66.768,0.0001565
69.1433,0.0001575
70.8124,0.0001586
73.383,0.0001596
75.057,0.0001606
77.513,0.0001614
79.136,0.0001622
80.7747,0.000163
83.278,0.0001637
84.9004,0.0001643
86.6315,0.0001648
89.011,0.0001653
90.624,0.0001657
93.143,0.0001661
94.8825,0.0001664
96.6276,0.0001666
99.095,0.0001667
100.754,0.0001667
102.402,0.0001666
104.8713,0.0001665
106.5024,0.0001662
108.2183,0.0001659
110.743,0.0001655
112.364,0.0001649
114.8675,0.0001644
116.49,0.0001638
119.0146,0.0001631
120.7394,0.0001624
122.3673,0.0001615
124.0155,0.0001606
126.49359999999999,0.0001597
128.213,0.0001586
130.5985,0.0001575
132.35,0.0001565
134.116,0.0001553
136.727,0.0001539
138.3646,0.0001528
140.007,0.0001516
142.482,0.0001504
143.99,0.0001491
146.4265,0.0001479
148.1216,0.0001473
149.796,0.0001461
152.212,0.0001449
153.8544,0.0001437
156.338,0.0001425
157.98,0.0001412
159.7014,0.0001401
162.2055,0.0001391
163.817,0.0001381
166.234,0.0001372
167.989,0.0001363
170.3695,0.0001355
172.234,0.0001348
173.851,0.0001342
176.2357,0.0001337
177.8433,0.0001332
179.574,0.0001329
181.969,0.0001326
183.597,0.0001324
186.09,0.0001324
187.7233,0.0001325
189.458,0.0001324
191.9876,0.0001325
193.923,0.0001328
195.621,0.0001331
198.095,0.0001335
199.7177,0.0001339
201.355,0.0001345
203.7664,0.0001351
205.3786,0.0001358
207.969,0.0001365
209.811,0.0001373
211.4136,0.0001382
213.944,0.0001391
215.6686,0.00014
217.3673,0.000141
219.062,0.000142
221.4775,0.0001431
223.2174,0.0001439
225.707,0.0001449
227.3286,0.0001461
229.7004,0.0001473
231.3423,0.0001484
233.176,0.0001495
234.829,0.0001506
237.435,0.0001517
239.023,0.0001527
241.5406,0.0001538
243.0654,0.0001548
245.5637,0.0001557
247.2026,0.0001567
248.818,0.0001572
251.308,0.0001581
252.84300000000002,0.0001588
254.56400000000002,0.0001596
257.067,0.0001604
258.7094,0.0001611
261.2125,0.0001617
262.9284,0.0001624
264.5595,0.000163
267.0735,0.0001635
269.4547,0.0001639
271.18,0.0001642
272.931,0.0001646
275.3016,0.0001648
276.9493,0.000165
278.6793,0.000165
281.1876,0.0001651
282.821,0.000165
284.5507,0.0001649
287.059,0.0001647
288.682,0.0001645
291.0524,0.0001641
292.69,0.0001637
294.446,0.0001631
297.0207,0.0001625
298.6804,0.0001618
301.0605,0.0001612
302.9036,0.0001604
304.5263,0.0001595
306.169,0.0001585
308.6573,0.0001575
310.182,0.0001565
312.5617,0.0001554
314.186,0.0001542
316.6624,0.0001531
318.199,0.0001519
320.676,0.0001507
322.4015,0.0001494
324.039,0.0001482
326.6455,0.0001469
328.1765,0.0001456
329.8956,0.0001443
332.2867,0.0001432
333.914,0.000142
336.5255,0.0001409
338.271,0.0001398
339.9907,0.0001387
342.5605,0.0001377
344.173,0.0001368
345.902,0.0001359
348.3767,0.0001351
350.1775,0.0001347
351.807,0.0001339
353.611,0.0001333
354.541,0.0001329
355.301,0.0001326
355.889,0.0001324
356.0026,0.0001322
