Theta,Power
theta,W
-,PinHole
351.5527,0.00087
352.2284,0.00087
353.7323,0.00088
354.9893,0.00088
356.597,0.00088
359.0947,0.00087
0.2773000000000003,0.00087
2.6110000000000007,0.00087
4.229600000000001,0.00086
6.676400000000001,0.00085
8.2986,0.00083
10.204,0.00082
12.768699999999999,0.00081
14.392,0.00079
16.019000000000002,0.00077
18.6407,0.00075
20.384,0.00073
22.1215,0.0007
24.5115,0.00068
26.140000000000004,0.00067
27.905400000000004,0.00064
30.497000000000003,0.00061
32.148399999999995,0.00059
33.888999999999996,0.00056
36.3835,0.00053
38.021,0.0005
40.513999999999996,0.00047
42.2586,0.00044
43.881299999999996,0.00041
45.536,0.00038
48.034000000000006,0.00035
49.630300000000005,0.00032
52.175,0.00029
53.828500000000005,0.00027
55.625,0.00024
58.232,0.00022
59.868700000000004,0.00019
61.497,0.00017
63.88759999999999,0.00015
65.51599999999999,0.00013
68.014,0.00011
69.734,9e-05
72.247,8e-05
73.8905,7e-05
75.61529999999999,6e-05
77.9913,5e-05
79.737,4e-05
82.112,3e-05
83.6377,3e-05
85.24499999999999,3e-05
87.759,3e-05
89.499,3e-05
91.8835,4e-05
93.625,5e-05
96.0155,6e-05
97.6314,7e-05
99.353,8e-05
101.0977,9e-05
103.515,0.00011
105.2407,0.00013
106.951,0.00015
109.4935,0.00017
111.1126,0.00019
113.5073,0.00022
115.2316,0.00024
116.962,0.00027
119.35799999999999,0.00029
120.98700000000001,0.00032
123.51960000000001,0.00034
125.13799999999999,0.00036
126.7666,0.00039
129.1566,0.00042
130.66600000000003,0.00045
133.16570000000002,0.00048
134.7936,0.00051
137.43050000000002,0.00054
139.12400000000002,0.00057
140.78740000000002,0.0006
143.06130000000002,0.00062
144.888,0.00065
147.28300000000002,0.00068
149.00300000000001,0.0007
151.292,0.00072
152.9813,0.00075
154.608,0.00077
157.1113,0.00079
158.74,0.0008
160.45000000000002,0.00082
162.923,0.00083
164.458,0.00085
166.967,0.00086
168.578,0.00087
171.0816,0.00087
172.823,0.00088
174.46030000000002,0.00088
176.934,0.00088
178.571,0.00088
180.3213,0.00087
182.948,0.00087
184.6544,0.00086
186.3266,0.00085
188.05100000000002,0.00084
190.65300000000002,0.00082
192.5866,0.00081
194.14370000000002,0.00079
196.6166,0.00077
198.25,0.00075
200.76260000000002,0.00073
202.298,0.00071
203.94140000000002,0.00068
206.5283,0.00066
208.073,0.00063
210.68300000000002,0.0006
212.3065,0.00057
213.9333,0.00054
216.57600000000002,0.00052
218.202,0.00049
219.80630000000002,0.00046
222.299,0.00042
223.906,0.00041
226.39970000000002,0.00038
228.0115,0.00035
230.40830000000003,0.00032
231.9487,0.00029
234.4507,0.00027
236.0437,0.00024
237.77370000000002,0.00022
240.1596,0.00019
241.8333,0.00017
244.29100000000003,0.00015
245.928,0.00013
247.5464,0.00011
250.03430000000003,9e-05
251.539,8e-05
253.99200000000002,7e-05
255.62440000000004,6e-05
258.1223,5e-05
259.8487,4e-05
261.4193,3e-05
263.692,3e-05
266.093,3e-05
267.742,3e-05
270.2235,3e-05
271.8363,4e-05
273.58660000000003,5e-05
275.159,6e-05
277.652,7e-05
279.285,8e-05
281.6606,9e-05
283.2926,0.00011
285.6675,0.00013
287.1887,0.00015
289.676,0.00017
291.2946,0.00019
293.72200000000004,0.00022
295.334,0.00024
297.0785,0.00027
299.556,0.00029
301.242,0.00032
303.7027,0.00035
305.47,0.00038
307.127,0.00041
309.697,0.00044
311.3093,0.00047
312.9544,0.0005
315.33,0.00053
316.962,0.00056
319.434,0.00058
321.04200000000003,0.00061
323.442,0.00064
325.0197,0.00065
327.49670000000003,0.00068
329.134,0.0007
330.8697,0.00072
333.2447,0.00075
334.8783,0.00077
337.244,0.00079
338.89300000000003,0.00081
341.3696,0.00082
342.9824,0.00083
344.72700000000003,0.00085
346.891,0.00086
348.086,0.00086
349.4685,0.00087
350.08500000000004,0.00087
350.451,0.00087
351.0026,0.00087
