Theta,Power
theta,W
-,PinHole2
351.4933,6.37e-05
352.6404,6.27e-05
353.791,6.07e-05
355.2315,5.79e-05
356.975,5.42e-05
358.8223,4.77e-05
1.123000000000001,4.32e-05
2.966000000000001,3.89e-05
4.797400000000001,3.48e-05
7.5777,3.1e-05
9.404600000000002,2.74e-05
11.2544,2.4e-05
13.086000000000002,2.1e-05
15.8245,1.82e-05
17.663,1.57e-05
19.521,1.36e-05
21.3427,1.19e-05
24.071,1.05e-05
25.9196,9.4e-06
27.751700000000003,8.7e-06
29.573000000000004,8.2e-06
32.3245,8.4e-06
34.162000000000006,9e-06
35.998599999999996,9.9e-06
37.8364,1.12e-05
39.673,1.28e-05
42.4336,1.48e-05
44.3027,1.71e-05
46.150000000000006,1.97e-05
48.915000000000006,2.26e-05
50.745999999999995,2.59e-05
52.584999999999994,2.92e-05
54.4333,3.27e-05
57.181,3.87e-05
59.024,4.31e-05
60.87299999999999,4.78e-05
62.711,5.29e-05
65.485,5.78e-05
67.307,6.29e-05
69.131,6.8e-05
70.978,7.32e-05
72.8153,7.84e-05
75.579,8.36e-05
77.41669999999999,8.88e-05
79.262,9.4e-05
82.009,9.92e-05
83.8367,0.0001044
85.67999999999999,0.0001094
87.51299999999999,0.0001143
89.34,0.0001213
92.078,0.0001256
93.9125,0.0001299
95.75399999999999,0.0001338
98.497,0.0001376
100.3413,0.0001411
102.158,0.0001444
103.99,0.0001473
106.75099999999999,0.0001501
108.573,0.0001524
110.4093,0.0001545
112.253,0.000156
114.0913,0.0001572
116.851,0.000158
118.698,0.0001585
120.5357,0.0001587
123.30999999999999,0.0001584
125.1683,0.0001576
127.003,0.0001565
128.8227,0.000155
130.66000000000003,0.0001531
133.401,0.0001509
135.24370000000002,0.0001484
137.0747,0.0001456
139.8607,0.0001425
141.7235,0.0001391
143.55200000000002,0.0001354
145.3685,0.0001314
148.12800000000001,0.0001272
149.971,0.0001206
151.8145,0.0001159
153.65300000000002,0.0001111
156.37400000000002,0.0001061
158.198,0.000101
160.0457,9.59e-05
161.887,9.07e-05
163.72,8.55e-05
166.4703,8.03e-05
168.3076,7.51e-05
170.14960000000002,7e-05
172.91400000000002,6.49e-05
174.738,5.98e-05
176.54350000000002,5.49e-05
178.36700000000002,5.01e-05
181.10000000000002,4.55e-05
182.91240000000002,4.11e-05
184.74560000000002,3.5e-05
186.603,3.11e-05
188.4505,2.75e-05
191.215,2.41e-05
193.05960000000002,2.11e-05
194.90630000000002,1.83e-05
197.687,1.58e-05
199.52960000000002,1.37e-05
201.3555,1.2e-05
203.1944,1.05e-05
205.006,9.4e-06
207.7697,8.7e-06
209.62400000000002,8.3e-06
211.4563,8.3e-06
214.24200000000002,9e-06
216.07500000000002,9.9e-06
217.90650000000002,1.11e-05
219.76930000000002,1.27e-05
222.5386,1.47e-05
224.35770000000002,1.7e-05
226.1997,1.96e-05
228.037,2.26e-05
229.895,2.58e-05
232.64460000000003,2.93e-05
234.483,3.31e-05
236.30470000000003,3.71e-05
238.13160000000002,4.13e-05
240.887,4.58e-05
242.7246,5.28e-05
244.5557,5.77e-05
247.31600000000003,6.28e-05
249.15000000000003,6.79e-05
250.976,7.31e-05
252.8177,7.84e-05
254.6764,8.37e-05
257.432,8.9e-05
259.264,9.43e-05
261.096,9.96e-05
263.8505,0.0001047
265.69,0.0001097
267.527,0.0001147
269.357,0.0001195
271.18600000000004,0.0001241
273.92400000000004,0.0001304
275.777,0.0001344
277.6306,0.0001382
280.37100000000004,0.0001417
282.219,0.0001449
284.0605,0.0001479
285.908,0.0001505
287.72630000000004,0.0001528
290.5013,0.0001548
292.344,0.0001563
294.18600000000004,0.0001576
296.94,0.0001585
298.769,0.0001591
300.5854,0.0001592
302.414,0.000159
304.267,0.000158
307.026,0.0001569
308.85200000000003,0.0001554
310.69460000000004,0.0001536
313.4597,0.0001515
315.30400000000003,0.000149
317.1406,0.0001461
318.967,0.0001429
321.713,0.0001395
323.545,0.0001358
325.414,0.0001317
327.229,0.0001276
329.0527,0.0001232
331.812,0.0001186
333.6286,0.0001138
335.426,0.0001064
338.1643,0.0001014
339.993,9.62e-05
341.81,9.1e-05
343.64300000000003,8.58e-05
346.308,8.07e-05
347.747,7.58e-05
348.8877,7.17e-05
349.7363,6.85e-05
350.283,6.62e-05
351.0026,6.47e-05
