Theta,Power
theta,W
-,Q-Plate_2.5V
0.693,0.01674
1.4367,0.01674
2.4083,0.01673
3.6476,0.01673
6.011,0.01672
7.613,0.01671
9.998,0.01671
11.676,0.01672
13.31,0.01673
15.9775,0.01674
17.5126,0.01675
19.254,0.01677
21.8395,0.0168
23.4523,0.01682
25.8475,0.01686
27.475,0.01688
29.102,0.01691
31.657,0.01694
33.2796,0.01698
35.747,0.01701
37.493,0.01704
39.9043,0.01706
41.527,0.0171
43.16,0.01714
45.6997,0.01718
47.3677,0.01722
48.995,0.01726
51.3705,0.0173
52.9937,0.01734
55.3645,0.01738
57.744,0.01741
59.372,0.01745
61.0916,0.01749
63.555,0.01753
65.11,0.01756
66.821,0.01759
69.237,0.01761
71.6175,0.01764
73.361,0.01767
74.9906,0.01769
76.7263,0.01772
79.1116,0.01774
80.745,0.01777
83.221,0.01779
84.903,0.01781
86.707,0.01782
89.098,0.01784
90.803,0.01785
93.21,0.01785
94.8333,0.01786
96.5425,0.01786
99.2044,0.01786
100.9193,0.01786
102.6244,0.01785
105.1837,0.01785
106.929,0.01784
108.551,0.01783
111.0957,0.01782
112.7955,0.0178
114.347,0.01778
116.8385,0.01776
118.549,0.01773
121.021,0.01771
122.7307,0.01768
124.3503,0.01766
126.9044,0.01764
128.6037,0.0176
130.231,0.01757
132.842,0.01754
134.347,0.0175
136.839,0.01747
138.5805,0.01743
140.2084,0.01739
142.8235,0.01736
144.5395,0.01732
146.2835,0.01728
147.984,0.01725
150.4416,0.01721
152.0695,0.01718
154.6445,0.01714
156.272,0.0171
157.952,0.01707
160.521,0.01703
162.134,0.01699
163.879,0.01697
166.3414,0.01695
167.99,0.01692
169.613,0.01688
171.998,0.01687
173.749,0.01684
175.4426,0.01681
177.844,0.01678
179.566,0.01677
181.1874,0.01675
183.686,0.01674
185.3075,0.01673
186.9354,0.01671
189.505,0.01671
191.3133,0.0167
193.0063,0.0167
195.485,0.01669
197.1894,0.01669
198.854,0.01669
200.4754,0.01669
202.806,0.01669
204.432,0.01671
206.8084,0.01672
208.5373,0.01674
211.0217,0.01675
212.645,0.01677
215.127,0.01679
216.7795,0.01682
218.4954,0.01684
220.9225,0.01687
222.6723,0.01689
224.408,0.01692
226.921,0.01695
228.543,0.01699
230.918,0.01703
232.552,0.01706
234.175,0.0171
236.714,0.01713
238.414,0.01717
240.051,0.01721
242.6213,0.01725
244.2956,0.01729
246.025,0.01732
248.5135,0.01736
250.1727,0.0174
251.913,0.01743
254.3954,0.01747
256.146,0.0175
257.8356,0.01753
260.3137,0.01756
261.9296,0.01759
264.459,0.01762
266.1793,0.01765
268.653,0.01766
270.28,0.01767
271.7846,0.01769
274.269,0.01771
275.906,0.01772
278.4754,0.01773
280.166,0.01774
282.023,0.01774
283.651,0.01774
286.1195,0.01775
287.9037,0.01774
289.522,0.01774
292.0925,0.01773
293.803,0.01771
295.5317,0.0177
298.0207,0.01768
299.663,0.01767
302.039,0.01765
303.785,0.01762
305.4226,0.0176
307.891,0.01757
309.6156,0.01754
311.3263,0.01751
313.7617,0.01748
315.384,0.01744
317.959,0.01741
319.6633,0.01737
321.2714,0.01733
323.001,0.01729
325.5144,0.01725
327.261,0.01721
329.76,0.01717
331.3816,0.01713
333.7826,0.0171
335.405,0.01706
337.0274,0.01702
339.4857,0.01698
341.1183,0.01695
343.6933,0.01692
345.501,0.0169
347.1184,0.01687
349.5897,0.01684
351.244,0.01682
352.9445,0.01679
355.326,0.01678
356.695,0.01676
358.278,0.01675
359.1045,0.01674
359.643,0.01674
0.0125,0.01673
0.017,0.01673
