Theta,Power
theta,W
-,Q-palte_2.5V
351.487,0.0184
352.498,0.0184
353.4583,0.0184
354.673,0.0184
356.975,0.0184
358.756,0.0184
360.3486,0.0184
2.3970000000000002,0.0184
4.0306000000000015,0.0184
5.740300000000001,0.0184
8.161000000000001,0.0184
9.778000000000002,0.0184
11.402000000000001,0.0184
13.793,0.0184
16.112000000000002,0.0184
17.77,0.0184
19.3423,0.0184
21.732400000000002,0.0184
23.375000000000004,0.0183
25.008,0.0184
27.619400000000002,0.0184
29.282,0.0184
31.744000000000003,0.0184
33.382999999999996,0.0184
35.0213,0.0184
37.524,0.0184
39.173,0.0184
41.768,0.0184
43.519000000000005,0.0184
45.156499999999994,0.0184
47.625,0.0184
49.144999999999996,0.0184
50.762,0.0184
53.276300000000006,0.0184
55.0047,0.0184
56.655,0.0184
59.25999999999999,0.0184
60.882999999999996,0.0184
62.51599999999999,0.0184
64.896,0.0183
66.56049999999999,0.0183
68.982,0.0183
70.6097,0.0184
73.0195,0.0184
74.6126,0.0184
76.982,0.0184
78.6,0.0183
80.325,0.0183
82.8646,0.0183
84.619,0.0183
86.26469999999999,0.0183
88.655,0.0183
90.38499999999999,0.0183
92.00699999999999,0.0183
94.4027,0.0183
95.939,0.0183
97.628,0.0183
99.911,0.0183
101.518,0.0183
104.1087,0.0183
105.7376,0.0183
107.472,0.0183
109.9697,0.0183
111.594,0.0183
114.0595,0.0183
115.735,0.0183
117.36699999999999,0.0183
119.9783,0.0184
121.63699999999999,0.0184
123.25500000000001,0.0184
125.7685,0.0184
127.38539999999999,0.0184
129.88330000000002,0.0184
131.51700000000002,0.0184
133.144,0.0184
135.65830000000003,0.0184
137.389,0.0184
139.77900000000002,0.0184
141.50500000000002,0.0184
143.1217,0.0184
145.52730000000003,0.0184
147.15,0.0184
149.6286,0.0184
151.2555,0.0184
152.88340000000002,0.0184
155.40730000000002,0.0184
157.0925,0.0184
158.72,0.0184
161.202,0.0184
162.948,0.0184
165.353,0.0184
166.967,0.0184
169.305,0.0184
170.93900000000002,0.0184
173.3497,0.0184
174.9573,0.0184
177.3333,0.0184
179.08460000000002,0.0184
180.73600000000002,0.0184
182.4676,0.0184
184.96650000000002,0.0184
186.583,0.0183
188.9745,0.0183
191.35930000000002,0.0183
192.9883,0.0183
194.5995,0.0183
197.01000000000002,0.0183
198.746,0.0183
200.36260000000001,0.0183
202.984,0.0183
204.6123,0.0183
207.02370000000002,0.0183
208.625,0.0183
211.03070000000002,0.0183
212.638,0.0183
215.1185,0.0183
216.7953,0.0183
218.41850000000002,0.0182
220.80440000000002,0.0182
222.561,0.0182
224.1884,0.0182
226.5753,0.0182
228.193,0.0182
230.674,0.0182
232.31300000000002,0.0182
234.04330000000002,0.0182
236.53500000000003,0.0182
238.1785,0.0182
240.59,0.0183
242.2954,0.0183
243.95770000000002,0.0183
246.348,0.0183
248.08500000000004,0.0183
250.4756,0.0182
252.0774,0.0182
254.586,0.0182
256.228,0.0182
257.96860000000004,0.0182
259.709,0.0182
262.172,0.0182
263.795,0.0182
266.293,0.0182
267.896,0.0182
270.29650000000004,0.0182
271.943,0.0182
274.3097,0.0183
275.83,0.0183
278.379,0.0183
279.992,0.0183
281.66,0.0183
284.046,0.0183
285.649,0.0183
288.168,0.0183
289.702,0.0183
292.181,0.0183
293.9253,0.0183
295.5335,0.0183
297.934,0.0183
299.526,0.0183
301.077,0.0184
303.5954,0.0184
305.28000000000003,0.0184
307.661,0.0184
309.3954,0.0184
311.90000000000003,0.0184
313.528,0.0184
315.17,0.0184
317.54,0.0184
319.29200000000003,0.0184
321.6665,0.0184
323.32460000000003,0.0184
325.69530000000003,0.0184
327.4196,0.0184
329.796,0.0184
331.4183,0.0184
332.9373,0.0184
335.5545,0.0184
337.18240000000003,0.0184
339.58750000000003,0.0184
341.253,0.0184
343.64300000000003,0.0184
345.4407,0.0184
346.956,0.0184
348.5887,0.0184
349.4805,0.0184
350.29200000000003,0.0184
350.5255,0.0184
351.0026,0.0184
