Theta,Power
theta,W
-,Q-palte_4V
351.4615,0.0082
352.4393,0.0082
353.3937,0.0082
355.1956,0.0082
356.7297,0.0081
358.3727,0.0082
0.5295000000000005,0.0083
2.3000000000000007,0.0084
3.856,0.0086
6.2264,0.0087
7.839000000000002,0.0089
10.224,0.0092
11.7456,0.0096
13.48,0.0099
15.875600000000002,0.0103
17.488400000000002,0.0108
19.9815,0.0113
21.502000000000002,0.0118
23.2373,0.0123
25.869600000000002,0.0129
27.506400000000003,0.0135
29.123300000000004,0.0142
31.6014,0.0148
33.224599999999995,0.0155
35.522999999999996,0.0161
37.238,0.0168
39.596999999999994,0.0175
41.09740000000001,0.0182
43.59,0.019
45.31100000000001,0.0196
46.959,0.0203
49.4777,0.0209
51.1983,0.0216
52.93300000000001,0.0223
55.452,0.0229
57.0947,0.0235
58.958600000000004,0.024
61.482,0.0246
63.05799999999999,0.0251
64.6154,0.0255
66.99549999999999,0.026
68.62299999999999,0.0264
70.9983,0.0268
72.7226,0.0271
74.5823,0.0273
77.0703,0.0275
78.7076,0.0277
81.10329999999999,0.0277
82.7927,0.0278
85.1786,0.0279
86.91329999999999,0.0279
89.3096,0.0279
90.949,0.0278
92.551,0.0277
94.9966,0.0275
96.6807,0.0273
98.2274,0.027
100.69,0.0266
102.363,0.0262
104.779,0.0258
106.5253,0.0254
108.9205,0.0249
110.553,0.0245
112.852,0.024
114.5825,0.0234
116.2047,0.0228
118.7385,0.0222
120.3565,0.0215
122.86059999999999,0.0209
124.61039999999998,0.0202
126.248,0.0196
128.614,0.0189
130.2365,0.0182
132.6166,0.0175
134.24450000000002,0.0168
135.863,0.0162
138.448,0.0155
140.04000000000002,0.0148
142.5174,0.0142
144.0635,0.0136
146.5713,0.013
148.322,0.0124
150.0584,0.0118
152.4333,0.0113
154.067,0.0108
155.79700000000003,0.0104
158.18800000000002,0.01
159.89700000000002,0.0096
162.42700000000002,0.0093
164.156,0.009
165.876,0.0087
168.262,0.0085
169.89000000000001,0.0083
171.579,0.0082
174.03060000000002,0.0082
175.8023,0.0082
177.477,0.0082
179.95700000000002,0.0083
181.59660000000002,0.0084
184.08450000000002,0.0085
185.732,0.0087
187.3607,0.0089
190.013,0.0092
191.6724,0.0096
194.05200000000002,0.01
195.67000000000002,0.0104
197.3177,0.0108
199.887,0.0113
201.52630000000002,0.0118
203.911,0.0124
205.53900000000002,0.0129
207.29000000000002,0.0135
209.79250000000002,0.0142
211.3797,0.0148
213.0087,0.0155
215.4805,0.0162
217.8914,0.0168
219.495,0.0175
221.1123,0.0182
223.70600000000002,0.0189
225.38230000000001,0.0196
227.77200000000002,0.0203
229.395,0.0209
231.13500000000002,0.0216
233.6287,0.0222
235.2253,0.0228
237.86100000000002,0.0234
239.413,0.024
241.14260000000002,0.0246
243.574,0.0251
245.25900000000001,0.0255
247.055,0.026
248.647,0.0264
251.13,0.0267
253.3985,0.0269
255.00900000000001,0.0272
257.4977,0.0274
259.1006,0.0276
260.832,0.0277
263.118,0.0278
264.931,0.0278
266.6057,0.0278
269.012,0.0277
270.63800000000003,0.0276
273.0246,0.0275
274.636,0.0274
277.12,0.0272
278.86060000000003,0.0269
280.622,0.0266
282.362,0.0263
284.7674,0.0259
286.51300000000003,0.0255
288.9854,0.025
290.6075,0.0245
292.2453,0.024
294.632,0.0234
297.0233,0.0228
298.64,0.0222
300.326,0.0216
302.8374,0.0209
304.4716,0.0202
306.0224,0.0196
308.6026,0.0189
311.00350000000003,0.0182
312.6413,0.0175
314.218,0.0168
316.66,0.0161
318.28700000000003,0.0155
320.0177,0.0148
322.521,0.0142
324.19,0.0135
325.78200000000004,0.013
328.373,0.0124
329.99,0.0118
332.4773,0.0113
334.1203,0.0108
336.629,0.0104
338.3607,0.0099
339.97700000000003,0.0096
342.306,0.0092
344.0477,0.0089
346.3257,0.0087
347.616,0.0085
349.14300000000003,0.0084
349.8457,0.0083
350.312,0.0083
351.0026,0.0083
