Theta,Power
theta,W
-,Q-plate_1.6V
0.759,0.0019
1.4544,0.0018
2.977,0.0018
4.3503,0.0017
5.8907,0.0016
8.4693,0.0016
10.194,0.0017
11.904,0.0018
14.3813,0.0021
15.989,0.0024
17.6335,0.0027
20.109,0.0031
21.8614,0.0037
23.505,0.0042
26.003,0.0048
27.6145,0.0055
30.1124,0.0062
31.8174,0.007
33.5375,0.0079
36.107,0.0087
37.852,0.0097
39.507,0.0106
42.0766,0.0116
43.688,0.0126
45.374,0.0136
47.9944,0.0147
49.613,0.0157
51.2346,0.0168
53.732,0.0179
55.436,0.0189
57.992,0.02
59.717,0.021
61.34,0.022
63.8223,0.023
65.4914,0.0239
67.1745,0.0249
69.6484,0.0257
71.363,0.0266
73.052,0.0274
75.607,0.0281
77.236,0.0288
79.743,0.0295
81.4886,0.03
83.2244,0.0305
84.974,0.0309
87.4835,0.0313
89.1724,0.0316
90.8513,0.0317
93.34,0.032
94.9886,0.0321
97.5317,0.0321
99.164,0.0321
100.849,0.032
103.316,0.0318
105.026,0.0315
107.463,0.0312
109.224,0.0308
110.826,0.0303
113.4003,0.0298
115.096,0.0292
116.7233,0.0286
119.2004,0.0278
120.8897,0.0271
122.5895,0.0262
125.0353,0.0254
126.6757,0.0245
129.0866,0.0236
130.7447,0.0226
132.3726,0.0215
134.9476,0.0205
136.647,0.0195
139.2124,0.0184
140.83,0.0174
142.447,0.0163
144.945,0.0152
146.573,0.0142
148.212,0.0131
150.791,0.0121
152.4607,0.0111
154.9424,0.0102
156.582,0.0092
159.0427,0.0083
160.6914,0.0075
162.395,0.0066
164.136,0.0059
166.8035,0.0052
168.447,0.0045
170.0755,0.0039
172.564,0.0034
174.196,0.0029
176.689,0.0025
178.275,0.0022
179.965,0.002
182.556,0.0018
184.254,0.0017
186.6447,0.0016
188.2836,0.0017
189.9776,0.0018
192.5474,0.0019
194.1716,0.0021
195.8136,0.0023
198.3073,0.0027
200.058,0.0031
201.701,0.0036
204.245,0.0042
206.047,0.0048
207.7507,0.0055
210.05,0.0062
211.559,0.007
214.1764,0.0078
215.805,0.0087
218.3017,0.0096
220.0067,0.0105
221.548,0.0115
224.041,0.0125
225.675,0.0135
228.151,0.0145
229.799,0.0156
231.5453,0.0167
234.124,0.0177
235.8346,0.0187
237.5396,0.0198
240.15,0.0208
241.875,0.0218
243.417,0.0228
246.026,0.0237
247.7837,0.0246
249.513,0.0255
251.1364,0.0263
253.603,0.0271
255.1695,0.0278
257.659,0.0285
259.342,0.0291
261.7947,0.0297
263.4163,0.0302
265.878,0.0306
267.518,0.031
269.247,0.0313
271.7246,0.0315
273.3526,0.0316
275.0227,0.0317
277.5,0.0317
279.127,0.0317
281.641,0.0315
283.2643,0.0313
285.6387,0.031
287.2624,0.0308
288.8945,0.0302
291.2653,0.0297
293.6574,0.0292
295.3905,0.0286
297.0085,0.0279
299.388,0.0272
301.0114,0.0268
302.728,0.026
305.2757,0.0251
306.893,0.0242
309.3817,0.0233
311,0.0224
312.745,0.0214
314.5113,0.0204
316.993,0.0193
318.6933,0.0183
321.171,0.0173
322.839,0.0162
324.538,0.0152
327.012,0.0141
328.686,0.0131
330.39,0.0121
333.006,0.0111
334.6494,0.0101
336.257,0.0092
338.751,0.0083
341.14,0.0075
341.989,0.0066
344.375,0.0059
346.874,0.0052
348.4916,0.0045
350.233,0.0039
352.704,0.0034
354.332,0.0029
356.6025,0.0026
357.819,0.0023
358.715,0.0021
359.621,0.002
359.937,0.002
0.019,0.0019
