Theta,Power
theta,W
-,Q-plate_2V
0.4954,0.0109
1.5206,0.0109
2.546,0.0108
4.537,0.0107
6.106,0.0106
7.713,0.0105
10.123,0.0105
11.7454,0.0105
14.3105,0.0105
15.9493,0.0105
17.5866,0.0106
20.0845,0.0106
21.708,0.0107
23.4684,0.0109
26.0444,0.011
27.708,0.0112
30.1494,0.0115
31.751,0.0117
33.3333,0.012
35.924,0.0123
37.552,0.0126
39.2823,0.0129
41.801,0.0133
43.43,0.0136
45.9013,0.014
47.523,0.0144
49.198,0.0148
51.8086,0.0152
53.441,0.0156
55.064,0.016
57.6186,0.0165
59.2366,0.0169
61.817,0.0173
63.44,0.0177
65.144,0.0181
67.6835,0.0186
69.428,0.019
71.0513,0.0193
73.5444,0.0197
75.163,0.0201
77.6546,0.0204
79.186,0.0208
80.9005,0.0211
83.327,0.0214
84.954,0.0216
87.4173,0.0219
89.173,0.0221
90.795,0.0222
93.3544,0.0224
95.0443,0.0225
96.6727,0.0226
99.068,0.0227
100.8183,0.0227
103.2906,0.0227
104.919,0.0227
107.3867,0.0227
109.101,0.0226
110.8014,0.0224
112.423,0.0223
114.9126,0.0221
116.642,0.0219
119.1764,0.0217
120.824,0.0216
122.442,0.0213
124.9087,0.021
126.6247,0.0207
128.349,0.0204
130.841,0.0201
132.552,0.0197
134.283,0.0193
136.837,0.0189
138.5805,0.0185
140.318,0.0181
142.7844,0.0177
144.408,0.0173
146.9415,0.0169
148.755,0.0165
150.459,0.016
152.1586,0.0156
154.7325,0.0152
156.4844,0.0148
158.103,0.0144
160.641,0.014
162.4074,0.0136
164.04,0.0132
166.6264,0.0129
168.32,0.0126
170.0244,0.0123
172.6395,0.012
174.3914,0.0117
176.1266,0.0114
178.592,0.0112
180.2925,0.011
181.9313,0.0109
184.439,0.0107
186.0675,0.0106
187.7824,0.0105
190.337,0.0105
192.031,0.0105
193.6486,0.0105
196.152,0.0105
197.77,0.0106
200.14,0.0106
201.855,0.0108
204.2626,0.0109
205.97,0.0111
207.6705,0.0113
209.2614,0.0115
211.873,0.0118
213.5107,0.012
216.096,0.0123
217.8834,0.0126
219.562,0.013
222.107,0.0131
223.661,0.0135
225.2644,0.0139
227.629,0.0143
229.256,0.0147
231.847,0.0151
233.531,0.0155
235.2215,0.0159
237.864,0.0163
239.568,0.0167
241.313,0.0171
243.873,0.0176
245.4895,0.018
247.3534,0.0184
248.9865,0.0188
251.5506,0.0191
253.1227,0.0195
254.8116,0.0199
257.418,0.0202
258.9384,0.0205
261.406,0.0208
263.106,0.0211
265.6183,0.0214
267.3275,0.0216
269.0163,0.0218
271.4855,0.022
273.1077,0.0221
274.8336,0.0222
277.397,0.0223
279.1026,0.0224
280.734,0.0225
283.219,0.0225
284.861,0.0224
286.479,0.0224
289.0753,0.0223
290.7683,0.0222
293.2714,0.0221
294.9264,0.0219
296.616,0.0217
299.0766,0.0215
300.721,0.0213
303.131,0.021
304.769,0.0207
306.51,0.0204
308.9055,0.0201
310.605,0.0198
312.9813,0.0194
314.593,0.019
316.9685,0.0187
318.596,0.0185
320.2186,0.018
322.799,0.0176
324.5137,0.0172
326.966,0.0168
328.609,0.0164
330.33,0.0159
332.8126,0.0155
334.676,0.0151
336.289,0.0147
338.038,0.0143
340.522,0.0139
342.1607,0.0136
344.545,0.0132
346.209,0.0129
348.8005,0.0125
350.412,0.0122
352.0297,0.0119
354.5453,0.0117
356.1315,0.0114
357.394,0.0113
358.85,0.0111
359.455,0.011
359.866,0.011
0.019,0.011
