Theta,Power
theta,W
-,Slit
351.564,5.8e-05
352.191,5.7e-05
353.6125,5.7e-05
354.748,5.7e-05
356.1994,5.7e-05
358.6754,5.7e-05
360.3184,5.8e-05
2.346,5.9e-05
4.061400000000001,6.3e-05
5.7653,6.5e-05
8.218,6.8e-05
9.855700000000002,7.3e-05
11.504000000000001,7.8e-05
14.049,8.3e-05
15.7177,8.9e-05
17.4675,9.6e-05
19.1777,0.000102
21.5985,0.000109
23.1035,0.000117
25.659000000000002,0.000125
27.343,0.000133
29.834999999999997,0.000141
31.4686,0.000151
33.2085,0.000161
35.718,0.000171
37.3973,0.000181
39.274699999999996,0.000191
41.726699999999994,0.000201
43.462,0.00021
45.182599999999994,0.000219
46.919,0.000229
49.462,0.000239
51.084999999999994,0.000249
53.583600000000004,0.000258
55.323499999999996,0.000267
56.95139999999999,0.000277
59.45,0.000287
61.07599999999999,0.000295
63.584999999999994,0.000301
65.203,0.000307
66.8366,0.000314
69.40169999999999,0.000319
71.02499999999999,0.000321
72.6934,0.000324
75.2517,0.000329
76.982,0.000332
78.755,0.000335
80.4944,0.000339
82.946,0.000341
84.72749999999999,0.000343
86.361,0.000342
88.833,0.000341
90.4666,0.000339
92.9436,0.000336
94.5564,0.000331
97.065,0.000327
98.7233,0.000324
100.3476,0.000321
102.818,0.000319
104.431,0.000314
106.8326,0.000305
108.67,0.000296
110.3536,0.00029
112.065,0.000283
114.5565,0.000274
116.917,0.000266
118.61030000000001,0.000257
120.403,0.000248
122.808,0.000239
124.437,0.000229
126.02839999999999,0.000221
128.5106,0.000211
130.211,0.000201
132.77100000000002,0.000191
134.4086,0.000181
136.1193,0.000171
138.63750000000002,0.000162
140.33800000000002,0.000152
142.0465,0.000142
144.54430000000002,0.000133
146.21970000000002,0.000124
147.847,0.000116
150.4163,0.000109
152.06,0.000101
154.5275,9.4e-05
156.191,8.7e-05
157.78900000000002,8.2e-05
160.26100000000002,7.7e-05
161.9815,7.2e-05
163.67450000000002,6.7e-05
166.20360000000002,6.4e-05
167.934,6.1e-05
170.4075,5.9e-05
172.1313,5.8e-05
173.83100000000002,5.8e-05
176.38150000000002,5.7e-05
178.085,5.8e-05
179.68740000000003,5.9e-05
182.15550000000002,6e-05
183.89540000000002,6.2e-05
185.6515,6.5e-05
188.13000000000002,6.8e-05
189.7465,7.3e-05
191.4974,7.7e-05
194.05100000000002,8.3e-05
195.77630000000002,9e-05
197.3485,9.7e-05
199.89200000000002,0.000105
201.59140000000002,0.000112
203.2605,0.000118
205.94330000000002,0.000127
207.64260000000002,0.000135
209.435,0.000145
211.15,0.000154
213.61200000000002,0.000163
215.5,0.000173
217.1235,0.000182
219.60600000000002,0.00019
221.173,0.000198
223.66600000000003,0.000208
225.32500000000002,0.000218
226.9925,0.000228
229.48600000000002,0.000238
231.109,0.000249
233.4984,0.000257
235.127,0.000266
236.8673,0.000276
239.35600000000002,0.000286
241.055,0.000294
243.49300000000002,0.000301
245.2527,0.000307
246.96800000000002,0.000315
249.37400000000002,0.00032
251.00639999999999,0.000324
252.71140000000003,0.000327
255.18900000000002,0.00033
256.8226,0.000334
258.634,0.000338
261.153,0.00034
262.84250000000003,0.000342
265.218,0.000342
266.851,0.000341
269.32300000000004,0.000339
270.957,0.000338
272.6136,0.000336
274.2644,0.000332
276.61740000000003,0.000329
278.3636,0.000326
280.855,0.000322
282.50100000000003,0.000317
284.15270000000004,0.00031
286.70300000000003,0.000304
288.398,0.000297
290.187,0.000289
291.939,0.000279
294.4166,0.00027
296.076,0.000263
297.75,0.000259
300.238,0.000251
301.9466,0.000243
303.728,0.000235
305.3775,0.000226
307.757,0.000217
309.488,0.000207
311.244,0.000196
313.752,0.000185
315.3747,0.000175
317.837,0.000165
319.54630000000003,0.000156
322.0545,0.000147
323.637,0.000138
325.2395,0.000129
327.72700000000003,0.000121
329.35,0.000113
331.05,0.000107
333.66450000000003,9.9e-05
335.216,9.2e-05
336.85470000000004,8.5e-05
339.3385,8e-05
340.9794,7.4e-05
343.582,7e-05
345.099,6.6e-05
346.665,6.3e-05
348.411,6.2e-05
349.29040000000003,6e-05
350.1973,5.9e-05
350.49060000000003,5.8e-05
351.0026,5.8e-05
