Theta,Power
356.5095,0.001033
357.518,0.001036
358.478,0.001041
359.731,0.001047
1.9855,0.001056
3.5469999999999997,0.001066
5.287000000000001,0.001076
7.800599999999999,0.001084
9.506,0.001093
11.963,0.0011
13.797,0.001108
15.438500000000001,0.001115
17.8916,0.001121
19.52,0.001127
21.1625,0.001131
23.788,0.001134
25.416,0.001136
27.7913,0.001138
29.537,0.001138
32.035,0.001138
33.638,0.001136
35.286,0.001133
37.8964,0.001129
39.534,0.001126
41.2616,0.001121
43.7626,0.001115
45.4066,0.001108
47.8894,0.001101
49.6194,0.001093
51.4874,0.001084
53.1206,0.001075
55.5215,0.001065
57.15,0.001055
58.89,0.001044
61.388000000000005,0.001032
62.913,0.00102
65.386,0.001007
67.746,0.000994
69.2777,0.000981
70.8843,0.000969
73.3926,0.000956
75.123,0.000942
76.756,0.000929
79.3723,0.000916
81.0106,0.000903
82.7714,0.00089
85.254,0.000878
86.8774,0.000866
89.3487,0.000854
91.105,0.000843
92.63,0.000833
95.0153,0.000822
96.751,0.000813
99.131,0.000804
100.867,0.000795
103.2627,0.000787
104.994,0.00078
106.708,0.000774
108.341,0.000769
110.778,0.000764
112.394,0.000761
114.8977,0.000758
116.628,0.000756
119.0037,0.000755
120.735,0.000755
122.362,0.000756
124.97900000000001,0.000758
126.62100000000001,0.000761
128.367,0.000765
130.0974,0.000769
132.621,0.000772
134.239,0.000778
136.624,0.000785
138.3396,0.000792
140.013,0.0008
142.6143,0.000809
144.3537,0.000819
145.996,0.000829
148.536,0.00084
150.2465,0.000851
152.734,0.000862
154.449,0.000875
156.1075,0.000887
158.601,0.000901
160.33,0.000914
161.9945,0.000928
163.7964,0.000942
166.2677,0.000956
168.0863,0.000969
169.759,0.000982
172.228,0.000995
173.9634,0.001008
176.477,0.001021
178.094,0.001033
179.727,0.001045
182.3337,0.001056
183.8475,0.001067
186.2183,0.001077
187.83,0.001086
190.2263,0.001095
191.9767,0.001103
193.5936,0.001111
196.0363,0.001117
198.022,0.001123
199.722,0.001128
201.3446,0.001132
203.829,0.001135
205.461,0.001138
207.995,0.00114
209.572,0.001141
211.204,0.001141
213.8057,0.001139
215.4524,0.001136
217.834,0.001133
219.574,0.001129
221.216,0.001123
223.6956,0.001117
225.3084,0.001109
227.8005,0.001101
229.439,0.001092
231.91,0.001083
233.571,0.001073
235.2024,0.001067
236.8975,0.001056
239.407,0.001045
241.039,0.001033
243.5165,0.00102
245.077,0.001007
247.566,0.000994
249.183,0.000981
251.6237,0.000968
253.3095,0.000955
254.9577,0.000941
257.451,0.000928
259.058,0.000915
261.669,0.000902
263.281,0.000888
264.888,0.000875
267.31,0.000863
269.0556,0.000851
270.715,0.000839
273.176,0.000828
274.9177,0.000818
277.3134,0.000808
278.93,0.000799
280.655,0.000791
283.0775,0.000784
284.736,0.000777
287.173,0.000771
288.8,0.000766
291.1863,0.000762
292.9153,0.000758
294.544,0.000756
297.169,0.000754
298.793,0.000753
301.1574,0.000753
302.79,0.000755
304.517,0.000757
306.4246,0.00076
308.9287,0.000764
310.6545,0.000768
313.1566,0.000774
314.769,0.000781
316.5113,0.000788
319.0123,0.000797
320.641,0.000805
322.3463,0.000814
324.9056,0.000823
326.6304,0.000833
328.2536,0.000844
330.771,0.000856
332.399,0.000867
334.027,0.00088
336.5307,0.000893
338.2555,0.000906
340.657,0.000913
342.427,0.000926
344.1686,0.00094
346.523,0.000954
348.2595,0.000967
349.8806,0.00098
352.2123,0.000993
353.492,0.001005
354.834,0.001015
355.46,0.001023
355.96,0.001028
356.003,0.001031
