Theta,Power
355.453,0.001142
354.65,0.001144
353.6485,0.001146
352.305,0.001149
2.1189999999999998,0.001152
3.8899999999999997,0.001153
5.7585999999999995,0.001152
7.560499999999999,0.00115
9.2853,0.001147
12.133,0.001141
13.872599999999998,0.001137
15.614,0.00112
17.477,0.001107
19.3856,0.001092
21.26,0.001074
23.835,0.001056
25.3945,0.001036
28.067,0.001015
29.8803,0.000992
31.6306,0.00098
33.386,0.000955
35.1375,0.000929
36.8613,0.000902
38.6543,0.000873
40.38,0.000844
42.1404,0.000815
44.884,0.000785
46.6355,0.00077
48.3863,0.00074
50.1257,0.000709
52.609,0.000679
54.375,0.000648
56.1263,0.000618
58.0293,0.000589
60.58969999999999,0.00056
62.3655,0.000532
64.128,0.000505
65.981,0.000479
67.6535,0.000454
70.342,0.000431
72.129,0.000408
73.8635,0.000388
75.8956,0.000368
77.7496,0.000351
80.3386,0.000335
82.1254,0.000321
84.123,0.000309
85.874,0.000299
87.865,0.000291
89.866,0.000285
92.3794,0.000281
94.1147,0.000279
95.988,0.000279
97.616,0.000281
99.5396,0.000285
102.0953,0.000291
103.8514,0.0003
105.873,0.00031
107.8703,0.000323
109.6264,0.00033
111.341,0.000345
113.8386,0.000371
116.296,0.00039
118.0874,0.000412
119.87,0.000434
121.62,0.000459
123.612,0.000484
125.3517,0.000497
127.82929999999999,0.000525
129.5895,0.000567
131.3523,0.000582
133.1324,0.000611
134.996,0.000641
136.5887,0.000671
139.1064,0.000702
140.9703,0.000733
143.575,0.000764
145.352,0.000795
147.1074,0.000825
149.115,0.000855
151.116,0.000884
152.831,0.000912
155.361,0.000939
157.1103,0.000965
158.917,0.00099
160.7396,0.001014
163.6026,0.001036
164.538,0.001057
167.0944,0.001076
168.8994,0.001093
170.7513,0.001108
173.3633,0.001122
175.1,0.001134
177.1067,0.001143
179.1034,0.001151
180.848,0.001156
182.716,0.001159
184.3586,0.001159
187.0737,0.001158
188.849,0.001154
190.594,0.001149
193.344,0.001141
195.346,0.001131
197.096,0.001118
199.099,0.001104
200.9914,0.001088
202.6036,0.00107
205.3073,0.001051
207.073,0.001031
208.829,0.001008
210.5754,0.000985
212.3315,0.000972
214.952,0.000932
216.8355,0.000904
218.5717,0.00089
220.255,0.000847
222.7996,0.000817
224.509,0.000787
226.2325,0.000757
228.819,0.000741
230.5026,0.00071
232.3467,0.00068
234.097,0.000649
236.0974,0.000619
237.8435,0.000589
240.332,0.000561
242.0667,0.000533
243.8176,0.000506
245.5637,0.000479
247.335,0.000454
249.3306,0.000431
251.0986,0.000419
253.82100000000003,0.000398
255.5057,0.000378
257.3175,0.000359
259.089,0.000343
260.9473,0.000328
262.591,0.000315
265.1033,0.000304
266.8453,0.000295
268.718,0.000288
271.2925,0.000282
273.0845,0.00028
274.8307,0.000279
277.317,0.00028
279.0783,0.000283
280.8245,0.000288
282.576,0.000296
285.084,0.000305
286.8194,0.000317
288.83,0.00033
290.699,0.000345
292.461,0.000362
294.299,0.000371
296.0174,0.00039
298.598,0.000411
300.3333,0.000434
302.2014,0.000458
304.0705,0.000483
306.58,0.000509
308.3145,0.00055
310.7853,0.000579
312.5523,0.000608
314.256,0.000638
316.9187,0.000667
318.829,0.000698
320.5793,0.000728
322.335,0.000759
325.0176,0.00079
325.939,0.00082
327.997,0.000834
330.556,0.000863
332.3065,0.000891
334.033,0.000919
335.825,0.000945
337.5434,0.00097
339.31,0.000995
341.0763,0.001018
343.805,0.001029
344.7275,0.00105
347.2806,0.001069
349.0575,0.001086
351.0454,0.001102
352.7395,0.001114
354.0845,0.001125
354.9477,0.001132
355.598,0.001137
355.998,0.001139
355.9974,0.00114
