Theta,Power
theta,W
-,Slit_V
351.5183,0.00215
352.4956,0.00214
353.438,0.00212
354.7387,0.0021
357.15,0.00209
358.8233,0.00208
0.016000000000000014,0.00207
2.6325000000000003,0.00208
4.213000000000001,0.00208
6.706700000000001,0.0021
8.447,0.00213
10.194300000000002,0.00217
11.8326,0.00221
14.268,0.00227
15.9464,0.00233
17.647000000000002,0.0024
19.449,0.00247
21.9267,0.00255
23.6666,0.00265
25.408600000000003,0.00274
27.373,0.00285
29.862,0.00296
31.448000000000004,0.00306
33.8737,0.00318
35.574,0.00329
38.123999999999995,0.00341
39.7,0.00352
41.328,0.00365
43.6875,0.00378
45.391999999999996,0.00388
47.19500000000001,0.00401
49.70400000000001,0.00413
51.2645,0.00425
53.67060000000001,0.0043
55.43549999999999,0.00444
57.18639999999999,0.00456
59.5316,0.00465
61.169399999999996,0.00475
63.68299999999999,0.00486
65.4296,0.00496
67.0617,0.00506
69.42699999999999,0.00515
71.059,0.00523
73.66,0.00531
75.36999999999999,0.00539
77.0594,0.00545
79.5426,0.00548
81.1857,0.00552
83.05839999999999,0.00555
85.562,0.00559
87.0987,0.00561
88.66929999999999,0.00561
91.091,0.00562
93.568,0.00561
95.28999999999999,0.0056
97.04899999999999,0.00558
99.569,0.00555
101.196,0.0055
102.961,0.00546
105.4657,0.00541
107.0874,0.00536
108.75099999999999,0.0053
111.096,0.00521
112.846,0.00512
115.1764,0.00502
117.0496,0.00493
118.68740000000001,0.00482
121.15669999999999,0.00471
122.78869999999999,0.0046
124.44160000000001,0.00448
126.9343,0.00437
128.6456,0.00427
130.38500000000002,0.00414
132.77550000000002,0.00401
134.39800000000002,0.00387
136.88150000000002,0.00374
138.51000000000002,0.00361
140.127,0.00354
142.52800000000002,0.00342
144.13000000000002,0.00332
145.768,0.0032
148.27630000000002,0.00309
150.0063,0.00298
151.757,0.00287
154.24560000000002,0.00277
155.87800000000001,0.00267
157.51700000000002,0.00257
160.10250000000002,0.00249
161.7705,0.00242
163.40830000000003,0.00238
165.062,0.00231
167.6877,0.00225
169.413,0.0022
171.10240000000002,0.00216
173.7133,0.00212
175.322,0.00209
177.0207,0.00207
179.47850000000003,0.00206
181.0996,0.00206
183.53130000000002,0.00207
185.16000000000003,0.00209
186.80800000000002,0.00211
189.27040000000002,0.00215
190.8775,0.00219
193.4066,0.00224
195.0355,0.0023
196.74900000000002,0.00237
199.16500000000002,0.00244
200.87,0.00252
202.5244,0.00261
204.745,0.0027
207.2425,0.0028
208.99960000000002,0.0029
210.65300000000002,0.003
212.3424,0.0031
214.84550000000002,0.00321
216.37130000000002,0.00334
218.85350000000003,0.00346
220.4814,0.00352
222.104,0.00364
224.50930000000002,0.00377
226.23100000000002,0.0039
228.621,0.00402
230.33100000000002,0.00414
231.984,0.00426
233.61700000000002,0.00438
236.013,0.00451
238.5124,0.00462
240.13930000000002,0.00473
241.756,0.00484
243.4925,0.00494
246.098,0.00503
247.844,0.00512
249.48700000000002,0.00519
251.95870000000002,0.00527
253.598,0.00537
255.9823,0.00541
257.595,0.00545
259.9195,0.0055
261.5985,0.00555
263.2316,0.00558
265.83160000000004,0.00561
267.475,0.00563
269.9526,0.00563
271.5957,0.00563
273.223,0.00562
275.6245,0.0056
277.458,0.00558
279.095,0.00554
280.8515,0.00549
283.22200000000004,0.00545
284.9664,0.00539
286.7224,0.00533
289.10360000000003,0.00525
290.798,0.00518
293.276,0.0051
295.01,0.00502
296.5774,0.00493
298.9685,0.00483
300.5854,0.00472
303.1297,0.0046
304.834,0.00447
306.559,0.00437
309.083,0.00426
310.712,0.00413
313.113,0.00401
314.8277,0.00388
317.2083,0.00375
318.831,0.00362
320.48,0.0035
322.9615,0.00336
324.5847,0.00325
326.206,0.00313
328.6954,0.00303
330.322,0.00293
332.8045,0.00282
334.454,0.00272
336.076,0.00262
338.45660000000004,0.00258
340.17670000000004,0.0025
342.69,0.00242
344.3077,0.00232
346.7524,0.00226
347.978,0.00223
349.0294,0.0022
349.848,0.00217
350.439,0.00216
351.0026,0.00215
