Theta,Power
356.536,0.00593
357.55,0.00593
358.6474,0.00593
359.991,0.00592
1.4755000000000003,0.00592
3.9004000000000003,0.00592
5.584,0.0059
8.098,0.00588
9.828,0.00586
11.472,0.00583
13.841999999999999,0.00581
15.463999999999999,0.00578
17.84,0.00576
19.4934,0.00573
21.136,0.0057
23.5994,0.00567
25.232,0.00564
26.859,0.00562
29.4557,0.00558
30.985999999999997,0.00555
33.4643,0.00552
35.0245,0.00548
36.6326,0.00544
39.213,0.00541
40.901,0.00537
43.344,0.00534
44.971,0.00531
47.29,0.00527
48.979,0.00524
50.6013,0.00521
53.1013,0.00518
54.6974,0.00516
57.0775,0.00513
58.7216,0.00511
61.2205,0.00509
62.852000000000004,0.00508
64.578,0.00506
67.0914,0.00504
68.7136,0.00502
71.074,0.00501
72.7075,0.005
74.452,0.00499
76.946,0.00498
78.68,0.00498
80.9643,0.00498
82.5766,0.00498
84.8384,0.00498
86.594,0.00498
88.2323,0.00499
90.8245,0.005
92.4654,0.00501
94.822,0.00502
96.567,0.00503
98.184,0.00505
100.56,0.00506
102.0693,0.00508
104.5583,0.0051
106.186,0.00512
108.705,0.00515
110.322,0.00517
112.047,0.0052
114.4367,0.00523
116.061,0.00526
118.5645,0.00529
120.3044,0.00532
121.83,0.00535
124.24529999999999,0.00538
126.18,0.00542
127.80430000000001,0.00545
130.4303,0.00549
132.1707,0.00552
133.9664,0.00555
135.682,0.00558
138.1963,0.00562
139.9253,0.00565
142.297,0.00568
144.047,0.00571
145.782,0.00574
147.707,0.00577
150.3033,0.00579
152.037,0.00581
153.779,0.00584
155.3453,0.00586
157.7036,0.00587
160.187,0.00589
161.9273,0.0059
163.6443,0.00591
165.157,0.00592
167.809,0.00593
169.412,0.00594
171.1525,0.00595
173.6456,0.00596
176.046,0.00595
177.653,0.00594
179.2816,0.00592
181.6674,0.00591
183.285,0.00591
185.035,0.0059
187.4774,0.00589
189.924,0.00587
191.6146,0.00585
193.1633,0.00582
195.6534,0.00579
197.388,0.00576
199.7943,0.00573
201.396,0.0057
203.8945,0.00567
205.635,0.00564
207.1597,0.00561
209.644,0.00558
211.2823,0.00555
213.6515,0.00551
215.397,0.00548
217.7783,0.00544
219.3854,0.00541
221.786,0.00537
223.4956,0.00534
225.2157,0.0053
226.894,0.00527
229.511,0.00524
231.2454,0.00521
232.874,0.00518
235.265,0.00515
236.897,0.00513
239.39,0.0051
241.1353,0.00508
242.6814,0.00506
245.2626,0.00504
246.9307,0.00503
248.6154,0.00501
251.1294,0.005
252.74059999999997,0.00499
255.2437,0.00498
256.7643,0.00497
258.495,0.00497
260.88,0.00497
262.503,0.00496
264.89,0.00496
266.511,0.00496
269.0004,0.00497
270.6174,0.00498
272.2494,0.005
274.7536,0.00501
276.498,0.00502
278.2386,0.00504
279.995,0.00505
282.6165,0.00507
284.9867,0.00509
286.614,0.00511
288.252,0.00514
290.7347,0.00517
292.475,0.00519
294.2155,0.00522
296.6373,0.00524
298.244,0.00527
300.6094,0.0053
302.2483,0.00533
303.8803,0.00537
306.384,0.00541
308.1046,0.00544
310.4795,0.00548
312.1954,0.00551
313.8525,0.00554
316.331,0.00557
317.974,0.00561
320.349,0.00564
321.977,0.00567
324.481,0.00569
326.0975,0.00572
328.4886,0.00575
330.2285,0.00577
331.995,0.0058
333.6177,0.00582
336.1004,0.00584
337.6153,0.00586
340.0986,0.00587
341.7306,0.00589
343.477,0.0059
345.949,0.00591
347.516,0.00592
350.0817,0.00592
351.6465,0.00592
353.6355,0.00592
354.5815,0.00593
355.2806,0.00593
355.7734,0.00593
356.0026,0.00593
