Theta,Power
theta,W
-,핀홀_상상
0.7017,9.6e-06
1.401,9.4e-06
2.312,9.1e-06
4.1706,8.8e-06
5.693,8.7e-06
8.308,8.9e-06
10.044,9.4e-06
11.6813,1.04e-05
14.2516,1.17e-05
15.9415,1.34e-05
17.451,1.55e-05
19.938,1.8e-05
21.5665,2.09e-05
23.9675,2.41e-05
25.6006,2.58e-05
27.2186,2.95e-05
29.8035,3.35e-05
31.426,3.78e-05
33.976,4.23e-05
35.531,4.71e-05
38.0456,5.21e-05
39.6725,5.74e-05
41.3114,6.28e-05
43.8035,6.83e-05
45.534,7.4e-05
47.167,7.97e-05
49.661,8.55e-05
51.3033,9.13e-05
53.0495,9.72e-05
55.542,0.000103
57.171,0.0001089
58.799,0.0001146
61.409,0.0001202
63.1743,0.0001256
64.921,0.0001308
67.4287,0.0001359
69.041,0.0001408
71.6363,0.0001455
73.352,0.0001499
75.0093,0.0001541
77.5337,0.000158
79.2335,0.0001615
80.974,0.0001647
82.597,0.0001675
85.0794,0.0001699
86.785,0.000172
89.2614,0.0001738
90.9045,0.0001751
92.712,0.0001761
95.281,0.0001766
96.9155,0.0001767
98.7215,0.0001764
101.281,0.0001756
103.0015,0.0001745
104.641,0.000173
106.3443,0.0001712
108.8885,0.000169
110.528,0.0001664
113.009,0.0001633
114.7766,0.00016
116.5004,0.0001563
118.9826,0.0001522
120.693,0.0001479
122.4025,0.0001433
124.8644,0.0001384
126.5194,0.0001334
128.884,0.0001282
130.513,0.0001256
132.15,0.0001201
134.648,0.0001145
136.3473,0.0001089
138.8306,0.0001031
140.393,9.74e-05
142.864,9.15e-05
144.4863,8.56e-05
146.9436,7.69e-05
148.601,7.11e-05
151.0657,6.55e-05
152.78,6.28e-05
154.3606,5.74e-05
156.0656,5.22e-05
158.534,4.72e-05
160.1366,4.23e-05
161.8713,3.78e-05
164.3437,3.35e-05
165.961,2.94e-05
168.4903,2.57e-05
170.006,2.24e-05
172.499,1.94e-05
174.233,1.67e-05
175.928,1.44e-05
178.3296,1.24e-05
180.0034,1.07e-05
181.692,9.3e-06
184.231,8.4e-06
185.9467,7.9e-06
188.4294,8e-06
190.124,8.5e-06
191.807,9.4e-06
193.436,1.08e-05
195.9126,1.25e-05
197.623,1.46e-05
200.019,1.7e-05
201.7454,1.99e-05
203.5005,2.31e-05
206.095,2.66e-05
207.7497,3.05e-05
209.4333,3.46e-05
211.905,3.9e-05
213.5284,4.37e-05
216.0367,4.86e-05
217.7375,5.38e-05
219.379,5.91e-05
221.857,6.47e-05
223.486,7.04e-05
226.0396,7.61e-05
227.714,8.19e-05
229.4694,8.49e-05
231.1124,9.08e-05
233.698,9.67e-05
235.3366,0.0001026
237.727,0.0001085
239.3655,0.0001143
240.9673,0.0001199
243.5366,0.0001254
245.107,0.0001308
247.5967,0.0001359
249.225,0.0001409
251.769,0.0001456
253.4733,0.0001499
255.1877,0.0001541
256.816,0.000158
259.361,0.0001615
260.988,0.0001647
263.5674,0.0001675
265.201,0.00017
267.571,0.0001721
269.2143,0.0001739
270.8427,0.0001753
273.4015,0.0001762
275.1117,0.0001767
276.7287,0.0001767
279.217,0.0001764
280.953,0.0001756
283.354,0.0001745
285.0886,0.000173
286.835,0.0001711
288.549,0.0001688
290.991,0.0001661
292.706,0.000163
295.204,0.0001596
296.8366,0.0001559
299.304,0.0001519
300.9327,0.0001476
302.591,0.000143
305.191,0.0001381
306.815,0.0001331
308.652,0.0001279
310.326,0.0001224
312.7875,0.0001169
314.447,0.0001113
317.016,0.0001056
318.6907,9.97e-05
320.389,9.38e-05
322.8993,8.79e-05
324.44,8.2e-05
326.932,7.62e-05
328.555,7.04e-05
330.1824,6.76e-05
332.5943,6.2e-05
334.207,5.66e-05
335.947,5.14e-05
338.4095,4.64e-05
340.135,4.16e-05
342.52,3.7e-05
344.1163,3.27e-05
346.6766,2.87e-05
348.3,2.49e-05
349.917,2.15e-05
352.432,1.85e-05
354.1405,1.59e-05
356.376,1.36e-05
357.6224,1.18e-05
358.564,1.05e-05
359.597,9.7e-06
359.928,9.2e-06
0.021,8.9e-06
