Theta,Power
theta,W
-,핀홀_우상
0.716,5.4e-05
1.504,5.6e-05
2.5833,6.1e-05
3.9617,6.8e-05
6.5523,7.8e-05
8.3745,9e-05
10.198,0.000104
12.0085,0.000118
14.747,0.000133
16.587,0.00015
18.413,0.000166
20.2303,0.000183
22.0843,0.000201
24.8286,0.000219
26.655,0.000238
28.5074,0.000256
31.2527,0.000284
33.0963,0.000303
34.906,0.000321
36.734,0.00034
39.4886,0.000358
41.315,0.000376
43.139,0.000394
44.997,0.00041
46.8285,0.000426
49.5733,0.000441
51.416,0.000455
53.2537,0.000468
56.012,0.00048
57.815,0.000492
59.6377,0.000503
61.46,0.000513
64.2094,0.000527
66.046,0.000534
67.874,0.000539
69.6614,0.000543
71.5045,0.000546
74.2576,0.000548
76.0704,0.000548
77.908,0.000547
79.73,0.000544
82.4893,0.000541
84.3074,0.000536
86.1327,0.00053
88.903,0.000523
90.7315,0.000514
92.585,0.000504
94.411,0.000494
97.1416,0.000476
98.9414,0.000463
100.7844,0.000448
102.6233,0.000433
105.3926,0.000418
107.235,0.000401
109.0474,0.000384
110.89,0.000367
112.7283,0.000349
115.4814,0.00033
117.3094,0.000312
119.121,0.000293
121.869,0.000275
123.693,0.000256
125.53,0.000238
127.363,0.000219
130.108,0.000201
131.95,0.000174
133.7885,0.000157
135.5956,0.000141
138.343,0.000125
140.1657,0.00011
141.9937,9.6e-05
143.822,8.2e-05
146.575,7e-05
148.4037,5.9e-05
150.232,4.8e-05
152.059,3.9e-05
154.8174,3.1e-05
156.66,2.4e-05
158.5025,1.9e-05
160.336,1.5e-05
162.152,1.2e-05
164.912,1e-05
166.746,1e-05
168.5627,1.2e-05
171.301,1.5e-05
173.129,1.9e-05
174.9654,2.4e-05
176.7976,3.1e-05
179.543,3.9e-05
181.3594,4.8e-05
183.1925,5.9e-05
185.042,7e-05
186.8786,8.3e-05
189.6223,9.6e-05
191.4394,0.00011
193.2814,0.000125
196.036,0.000141
197.859,0.000166
199.6815,0.000183
201.503,0.000201
204.2475,0.000219
206.0796,0.000237
207.9023,0.000255
209.7443,0.000273
212.474,0.000293
214.322,0.000312
216.16,0.000331
217.9823,0.000349
220.736,0.000368
222.579,0.000386
224.422,0.000403
226.2646,0.00042
228.1176,0.000435
230.877,0.000451
232.705,0.000472
234.537,0.000485
236.366,0.000497
239.1253,0.000508
240.9517,0.000518
242.765,0.000526
245.532,0.000533
247.376,0.000539
249.198,0.000544
251.041,0.000547
252.8644,0.00055
255.602,0.000551
257.432,0.00055
259.269,0.000548
261.121,0.000545
263.869,0.000541
265.6876,0.000532
267.5093,0.000525
270.264,0.000516
272.092,0.000506
273.9287,0.000495
275.751,0.000483
277.574,0.000471
280.312,0.000457
282.14,0.000442
283.9873,0.000426
286.747,0.00041
288.58,0.000393
290.403,0.000376
292.2394,0.000358
295.005,0.00034
296.8257,0.000313
298.6495,0.000294
300.491,0.000275
302.3554,0.000257
305.093,0.000238
306.932,0.000219
308.7685,0.000201
311.483,0.000183
313.3105,0.000166
315.144,0.000149
316.954,0.000133
319.6935,0.000117
321.521,0.000102
323.3285,8.9e-05
325.1726,7.6e-05
326.999,6.4e-05
329.7693,5.3e-05
331.596,4.3e-05
333.4127,3.1e-05
336.178,2.4e-05
338.024,1.9e-05
339.8436,1.5e-05
341.67,1.2e-05
344.4226,1e-05
346.2573,1e-05
348.0957,1.1e-05
349.9424,1.3e-05
351.791,1.7e-05
354.552,2.1e-05
356.214,2.7e-05
357.582,3.4e-05
359.052,4e-05
359.658,4.5e-05
359.9734,5.1e-05
0.0214,5.2e-05
