Theta,Power
theta,W
-,핀홀_우중
0.734,0.000825
1.5383,0.000826
2.6453,0.000828
4.0607,0.00083
6.66,0.000831
8.5026,0.000833
10.351,0.000832
12.1835,0.000829
14.031,0.000824
16.7854,0.000813
18.6233,0.000803
20.475,0.000792
23.221,0.000779
25.0687,0.000764
26.8743,0.000748
28.7184,0.000731
30.5364,0.000712
33.2786,0.000692
35.1065,0.00067
36.9444,0.000647
39.7293,0.000624
41.546,0.000598
43.374,0.000573
45.217,0.000547
47.9444,0.000507
49.7937,0.00048
51.6357,0.000453
53.4746,0.000425
56.238,0.000398
58.081,0.000371
59.93,0.000344
61.742,0.000317
64.4745,0.000292
66.3176,0.000267
68.1606,0.000243
69.9844,0.00022
72.7323,0.000198
74.5644,0.000177
76.403,0.000147
78.242,0.00013
80.985,0.000114
82.7925,9.9e-05
84.6236,8.7e-05
86.4416,7.6e-05
89.1854,6.7e-05
91.0066,5.9e-05
92.8345,5.3e-05
94.6624,5e-05
96.5154,4.8e-05
99.2795,4.8e-05
101.1074,5e-05
102.9197,5.4e-05
105.653,6e-05
107.511,6.7e-05
109.334,7.7e-05
111.145,8.8e-05
113.8957,0.000101
115.7174,0.000124
117.545,0.000141
119.367,0.000159
121.2065,0.000179
123.939,0.0002
125.7604,0.000222
127.5795,0.000246
130.3384,0.00027
132.1705,0.000295
134.0135,0.000321
135.836,0.000347
138.564,0.000374
140.423,0.000401
142.26,0.000428
144.1024,0.000456
145.9444,0.000484
148.691,0.000526
150.523,0.000553
152.349,0.000579
155.0836,0.000604
156.922,0.000629
158.758,0.000653
160.6003,0.000675
162.4345,0.000697
165.1897,0.000718
167.0265,0.000738
168.8643,0.000756
171.6383,0.000772
173.4777,0.000787
175.298,0.000799
177.1304,0.000815
178.981,0.000823
181.7547,0.00083
183.57,0.000834
185.389,0.000837
187.216,0.000838
189.9865,0.000836
191.8285,0.000833
193.6804,0.000829
196.4205,0.000822
198.259,0.000813
200.0644,0.000802
201.9085,0.00079
203.7406,0.000776
206.526,0.00076
208.378,0.000743
210.2095,0.000715
212.981,0.000694
214.7984,0.000672
216.625,0.000649
218.473,0.000625
221.2236,0.0006
223.092,0.000574
224.9185,0.000548
226.755,0.000522
229.5105,0.000495
231.36,0.000468
233.185,0.00044
234.988,0.000413
236.8103,0.000385
239.574,0.000358
241.3924,0.000331
243.214,0.000292
245.967,0.000267
247.801,0.000243
249.6236,0.00022
251.4453,0.000198
254.169,0.000177
255.991,0.000157
257.8095,0.000138
259.612,0.000122
262.343,0.000106
264.197,9.3e-05
266.016,8.1e-05
267.831,7.1e-05
270.547,6.2e-05
272.3664,5.6e-05
274.1965,5.1e-05
276.033,4.8e-05
277.84,4.8e-05
280.599,4.9e-05
282.4313,5.4e-05
284.2436,6e-05
286.071,6.7e-05
288.821,7.7e-05
290.642,8.8e-05
292.486,0.000101
295.255,0.000116
297.082,0.000132
298.8943,0.00015
300.727,0.000169
303.4556,0.000189
305.2835,0.000211
307.1167,0.000233
308.965,0.000257
310.807,0.000282
313.55,0.000307
315.3844,0.000346
317.2003,0.000373
319.9706,0.000399
321.808,0.000427
323.61,0.000454
325.4315,0.000482
328.1664,0.000509
330.0095,0.000537
331.8405,0.000563
333.659,0.000589
335.4704,0.000614
338.194,0.000638
340.0473,0.000661
341.875,0.000683
343.692,0.000703
346.441,0.000722
348.2634,0.00074
350.09,0.000756
352.8403,0.000779
354.657,0.000792
356.2857,0.000803
357.6297,0.000812
358.674,0.000818
359.683,0.000822
359.9833,0.000824
0.0214,0.000825
