Theta,Power
theta,W
-,핀홀_우하
0.7434,0.000214
1.5524,0.000212
2.656,0.000207
4.0523,0.000201
5.734,0.000192
8.4615,0.000182
10.2795,0.000165
12.106,0.000154
14.8496,0.000143
16.668,0.000132
18.49,0.000121
20.3225,0.000111
23.062,0.000101
24.8937,9.2e-05
26.712,8.3e-05
28.524,7.4e-05
30.3515,6.6e-05
33.089,5.9e-05
34.908,5.2e-05
36.7345,4.6e-05
38.576,4e-05
41.292,3.5e-05
43.128,3.1e-05
44.9615,2.8e-05
47.705,2.4e-05
49.515,2.3e-05
51.3085,2.2e-05
53.126,2.3e-05
55.8547,2.4e-05
57.7175,2.5e-05
59.5715,2.8e-05
61.3885,3.1e-05
63.2363,3.5e-05
65.984,4e-05
67.787,4.6e-05
69.619,5.2e-05
71.449,5.9e-05
74.2013,6.6e-05
76.0496,7.5e-05
77.887,8.3e-05
80.6463,9.2e-05
82.469,0.000107
84.2855,0.000116
86.1036,0.000127
87.9357,0.000138
90.666,0.000149
92.4865,0.00016
94.3046,0.000172
96.1263,0.000183
98.84,0.000195
100.667,0.000207
102.51,0.000218
105.2634,0.00023
107.077,0.000241
108.9047,0.000252
110.726,0.000263
113.4696,0.000273
115.292,0.000283
117.1515,0.000292
118.993,0.000305
120.826,0.000313
123.5955,0.00032
125.4437,0.000326
127.2555,0.000332
129.9894,0.000337
131.8074,0.000342
133.629,0.000346
135.426,0.000348
138.201,0.000351
140.0277,0.000352
141.872,0.000353
143.72,0.000352
145.562,0.000351
148.3204,0.00035
150.1447,0.000347
151.9554,0.000344
154.7247,0.000337
156.5584,0.000332
158.3754,0.000326
160.192,0.00032
162.9314,0.000312
164.785,0.000305
166.605,0.000296
168.435,0.000287
170.2875,0.000277
173.042,0.000267
174.8675,0.000257
176.696,0.000246
179.457,0.000235
181.2984,0.000224
183.135,0.000213
184.933,0.000201
186.752,0.000184
189.494,0.000173
191.317,0.000161
193.123,0.00015
194.9624,0.000139
197.726,0.000128
199.543,0.000118
201.3657,0.000107
204.109,9.7e-05
205.9363,8.8e-05
207.785,7.9e-05
209.6183,7e-05
211.461,6.3e-05
214.2394,5.5e-05
216.072,4.9e-05
217.8953,4.3e-05
219.728,3.5e-05
222.4514,3.1e-05
224.3,2.8e-05
226.1474,2.5e-05
228.9114,2.3e-05
230.7493,2.2e-05
232.577,2.2e-05
234.4104,2.3e-05
236.2524,2.4e-05
239.0003,2.6e-05
240.8397,2.9e-05
242.656,3.3e-05
245.431,3.8e-05
247.2633,4.3e-05
249.092,4.9e-05
250.94,5.9e-05
253.699,6.6e-05
255.552,7.5e-05
257.395,8.3e-05
259.2275,9.2e-05
261.955,0.000102
263.7924,0.000112
265.6053,0.000122
267.427,0.000133
270.1723,0.000144
271.983,0.000155
273.8157,0.000167
275.6436,0.000178
277.4554,0.00019
280.2106,0.000201
282.0167,0.000212
283.85,0.000223
285.662,0.000234
288.442,0.00025
290.2687,0.00026
292.086,0.00027
294.82,0.00028
296.638,0.000289
298.465,0.000298
300.3034,0.000306
303.067,0.000313
304.8886,0.00032
306.722,0.000326
308.551,0.000332
310.382,0.000336
313.131,0.00034
314.944,0.000344
316.7695,0.000346
318.5985,0.000348
321.3683,0.000349
323.1686,0.000349
325.008,0.000348
327.747,0.000347
329.5844,0.000344
331.417,0.000341
333.2653,0.000337
335.087,0.000332
337.8255,0.000326
339.648,0.00032
341.481,0.000313
344.244,0.000306
346.102,0.000297
347.961,0.000289
349.789,0.00028
352.5543,0.000271
354.3854,0.000256
356.0737,0.000245
357.4495,0.000236
358.9727,0.000228
359.6093,0.000222
359.9557,0.000218
0.0214,0.000216
