Theta,Power
theta,W
-,핀홀_좌상
0.4636,3.78e-05
1.4466,3.74e-05
2.3843,3.61e-05
3.5486,3.41e-05
5.8105,3.16e-05
7.4436,2.87e-05
9.1673,2.56e-05
11.6407,2.28e-05
13.263,2.02e-05
15.7816,1.79e-05
17.434,1.59e-05
19.0744,1.42e-05
21.556,1.28e-05
23.093,1.18e-05
25.626,1.11e-05
27.2546,1.07e-05
28.9695,1.06e-05
30.807,1.09e-05
33.304,1.15e-05
35.025,1.25e-05
37.5523,1.38e-05
39.2985,1.54e-05
41.0394,1.73e-05
43.572,1.96e-05
45.293,2.21e-05
47.003,2.49e-05
48.6315,2.8e-05
51.211,3.13e-05
52.844,3.48e-05
54.6717,3.86e-05
57.1497,4.26e-05
58.87,4.68e-05
60.6827,5.12e-05
63.1545,5.56e-05
64.885,6.02e-05
66.5947,6.48e-05
69.0665,6.96e-05
70.583,7.44e-05
73.172,7.92e-05
74.795,8.41e-05
76.4127,8.65e-05
79.0903,9.36e-05
80.709,9.82e-05
82.4175,0.0001025
84.8747,0.0001047
86.5594,0.000109
88.243,0.0001131
90.731,0.0001172
92.451,0.0001211
94.924,0.0001247
96.557,0.0001282
98.271,0.0001313
100.7907,0.0001343
102.417,0.000137
104.051,0.0001394
106.523,0.0001416
108.14,0.0001434
110.6394,0.000145
112.1553,0.0001463
114.5865,0.0001472
116.2753,0.0001478
118.0205,0.000148
120.4006,0.0001479
122.024,0.0001475
124.517,0.0001467
126.145,0.0001456
127.896,0.0001442
130.2597,0.0001424
131.894,0.0001403
134.5,0.000138
136.142,0.0001354
138.625,0.0001325
140.248,0.0001292
141.958,0.0001257
144.4467,0.0001221
146.1554,0.0001182
147.8244,0.0001141
150.3843,0.0001099
152.115,0.0001055
153.7573,0.0001009
156.239,9.63e-05
157.8836,9.16e-05
160.3815,8.68e-05
162.1276,8.19e-05
163.8524,7.7e-05
165.6033,7.22e-05
168.087,6.74e-05
169.754,6.27e-05
171.526,5.8e-05
174.029,5.58e-05
175.729,5.13e-05
178.2166,4.69e-05
179.967,4.27e-05
181.595,3.86e-05
184.1646,3.48e-05
185.859,3.11e-05
187.57,2.77e-05
189.265,2.46e-05
191.864,2.17e-05
193.487,1.91e-05
195.197,1.68e-05
197.756,1.48e-05
199.369,1.3e-05
201.933,1.17e-05
203.639,1.06e-05
205.257,9.9e-06
206.986,9.5e-06
209.5563,9.5e-06
211.183,9.7e-06
213.6664,1.04e-05
215.35,1.13e-05
217.1014,1.26e-05
219.5993,1.42e-05
221.1105,1.61e-05
222.754,1.83e-05
225.215,2.09e-05
226.941,2.37e-05
229.449,2.67e-05
231.199,3.01e-05
232.905,3.36e-05
235.463,3.74e-05
237.082,4.14e-05
239.5853,4.56e-05
241.306,4.99e-05
242.846,5.44e-05
245.273,5.9e-05
246.8643,6.37e-05
249.3205,6.85e-05
251.047,7.33e-05
252.7154,7.81e-05
255.1106,8.3e-05
256.719,8.79e-05
259.206,9.27e-05
260.891,9.5e-05
262.596,0.000102
264.996,0.0001066
266.62,0.000111
268.344,0.0001152
270.724,0.0001193
273.192,0.0001232
274.897,0.000125
276.505,0.0001286
278.997,0.0001318
280.695,0.0001349
282.3803,0.0001376
284.954,0.00014
286.6806,0.0001422
288.313,0.0001442
290.9386,0.0001457
292.5676,0.0001468
294.9425,0.0001477
296.545,0.0001483
298.208,0.0001485
300.7014,0.0001484
302.4064,0.000148
304.151,0.0001472
306.712,0.0001461
308.4367,0.0001447
310.0703,0.0001429
312.579,0.0001408
314.206,0.0001384
316.643,0.0001358
318.3005,0.0001329
320.021,0.0001297
322.565,0.0001263
324.1933,0.0001226
325.872,0.0001187
328.34,0.0001145
330.0595,0.0001102
331.826,0.0001058
334.314,0.0001012
336.039,9.66e-05
337.734,9.19e-05
340.217,8.71e-05
341.9523,8.22e-05
344.424,7.74e-05
346.14,7.25e-05
347.676,6.77e-05
350.1575,6.29e-05
351.8057,5.83e-05
353.5154,5.37e-05
355.874,4.93e-05
357.1614,4.54e-05
358.696,4.23e-05
359.397,3.99e-05
359.843,3.83e-05
0.021,3.74e-05
