Theta,Power
theta,W
-,핀홀_좌중
0.5126,0.001014
1.5576,0.001011
2.58,0.001005
3.9044,0.000997
6.3324,0.000984
8.0374,0.000968
9.7513,0.000948
11.482,0.000926
14,0.000902
15.7,0.000877
17.38,0.00085
19.8683,0.000821
21.4894,0.000791
24.1113,0.000759
25.729,0.000726
27.3707,0.00071
29.086,0.000676
31.487,0.000641
33.1775,0.000607
35.7364,0.000572
37.492,0.000537
39.202,0.000501
40.943,0.000466
43.5326,0.000431
45.155,0.000397
47.7157,0.000364
49.4144,0.000331
51.0475,0.0003
53.598,0.000269
55.2145,0.00024
56.899,0.000213
59.423,0.000187
61.0666,0.000162
62.735,0.00014
65.1095,0.00012
66.849,0.000102
68.595,8.6e-05
71.222,7.2e-05
72.8547,6e-05
75.282,5.1e-05
76.97,4.4e-05
79.4846,4e-05
81.117,3.8e-05
82.7347,3.8e-05
85.218,4.1e-05
86.9126,4.7e-05
88.545,5.5e-05
91.028,6.5e-05
93.418,7.7e-05
95.093,9.2e-05
96.705,0.000109
99.214,0.000128
100.9537,0.00015
102.6176,0.000173
105.151,0.000197
106.8303,0.000224
108.5864,0.000252
111.198,0.000281
112.9023,0.000312
114.581,0.000344
116.286,0.000377
118.686,0.000411
120.3396,0.000445
122.873,0.00048
124.63,0.000497
126.227,0.000532
128.8126,0.000568
130.4556,0.000605
132.206,0.00064
134.6746,0.000674
136.3827,0.000708
138.077,0.000742
140.669,0.000774
142.4193,0.000805
144.0415,0.000835
146.6935,0.000862
148.387,0.00089
150.016,0.000915
152.493,0.000939
154.074,0.00096
156.523,0.000979
158.186,0.000997
159.885,0.001011
162.312,0.001025
163.933,0.001034
165.567,0.001042
168.0657,0.001047
169.6983,0.00105
172.1863,0.001051
173.9215,0.00105
175.688,0.001045
178.2426,0.001038
179.935,0.001029
182.46,0.001018
184.1656,0.001004
185.8654,0.000988
188.2096,0.000969
189.9037,0.000949
192.299,0.000926
194.024,0.000902
195.677,0.000876
198.2734,0.000849
199.9576,0.00082
201.607,0.000789
204.0625,0.000758
205.696,0.000725
207.442,0.000692
209.914,0.000658
211.6244,0.000624
213.303,0.000589
215.894,0.000553
217.593,0.000518
219.2977,0.000483
221.863,0.000448
223.664,0.000413
225.384,0.00038
227.047,0.000363
229.6085,0.000315
231.3536,0.000299
232.9763,0.000269
235.4637,0.00024
237.168,0.000212
239.7447,0.000186
241.408,0.000162
243.04,0.00014
245.655,0.000119
247.392,0.000101
249.1017,8.6e-05
250.7905,7.2e-05
253.535,6e-05
255.1507,5.1e-05
256.898,4.4e-05
259.447,4e-05
261.086,3.8e-05
263.527,3.9e-05
265.281,4.2e-05
266.874,4.7e-05
269.4346,5.5e-05
271.036,6.5e-05
272.782,7.8e-05
275.117,9.3e-05
276.7485,0.00011
279.213,0.000129
280.7727,0.000151
283.133,0.000173
284.884,0.000198
286.5785,0.000225
289.103,0.000253
290.776,0.000283
293.2787,0.000314
294.897,0.000346
296.541,0.000379
299.105,0.000412
300.81,0.000447
303.1524,0.000482
304.7714,0.000517
306.507,0.000552
309.092,0.000587
310.72,0.000622
312.3734,0.000657
314.0784,0.000692
316.622,0.000725
318.2547,0.000758
320.7437,0.00079
322.274,0.00082
324.726,0.000849
326.349,0.000863
328.0133,0.00089
330.475,0.000916
332.1635,0.000939
334.7484,0.00096
336.443,0.000979
338.122,0.000996
340.7235,0.001011
342.4394,0.001023
344.117,0.001033
346.8256,0.001041
348.367,0.001047
349.9934,0.001049
352.496,0.001049
354.2124,0.001047
355.8247,0.001043
357.652,0.001038
358.7164,0.001031
359.384,0.001025
359.932,0.001021
0.0214,0.001018
