Theta,Power
theta,W
-,핀홀_좌하
0.5866,2.41e-05
1.691,2.5e-05
2.78,2.62e-05
4.187,2.78e-05
6.6195,3e-05
8.2526,3.26e-05
9.9717,3.54e-05
12.433,3.84e-05
14.057,3.99e-05
16.4364,4.29e-05
17.968,4.61e-05
19.6834,4.92e-05
22.2427,5.25e-05
23.9795,5.57e-05
25.8324,5.9e-05
28.3954,6.22e-05
30.014,6.52e-05
31.729,6.84e-05
33.3453,7.14e-05
35.9463,7.43e-05
37.656,7.71e-05
40.1346,7.97e-05
41.8344,8.23e-05
43.5076,8.49e-05
46.093,8.72e-05
47.8115,8.93e-05
49.4196,9.11e-05
51.9274,9.28e-05
53.622,9.43e-05
55.332,9.57e-05
57.7123,9.69e-05
59.4225,9.79e-05
61.9715,9.88e-05
63.6983,9.94e-05
65.3044,9.98e-05
67.8017,0.0001001
69.44,0.0001001
71.1456,9.99e-05
73.607,9.94e-05
75.369,9.87e-05
77.8525,9.78e-05
79.505,9.66e-05
81.199,9.52e-05
83.692,9.37e-05
85.32,9.19e-05
87.696,8.99e-05
89.3094,8.78e-05
91.017,8.56e-05
93.5675,8.32e-05
95.19,8.07e-05
96.9457,7.8e-05
99.4394,7.51e-05
101.1225,7.22e-05
102.812,6.92e-05
105.279,6.77e-05
106.995,6.46e-05
108.684,6.15e-05
110.307,5.84e-05
112.9685,5.52e-05
114.6844,5.2e-05
116.3983,4.88e-05
118.87,4.56e-05
120.6116,4.24e-05
122.3056,3.93e-05
123.938,3.62e-05
126.4423,3.32e-05
128.1677,3.04e-05
129.7747,2.91e-05
132.2934,2.64e-05
133.921,2.39e-05
135.554,2.15e-05
138.0216,1.93e-05
139.668,1.73e-05
142.045,1.55e-05
143.6726,1.39e-05
145.3573,1.25e-05
147.799,1.12e-05
149.5237,1.02e-05
151.27,9.4e-06
153.7375,8.9e-06
155.416,8.6e-06
157.044,8.5e-06
159.446,8.6e-06
161.1696,8.9e-06
163.731,9.5e-06
165.348,1.03e-05
167.1755,1.13e-05
169.668,1.25e-05
171.4023,1.4e-05
173.031,1.56e-05
175.585,1.75e-05
177.2846,1.95e-05
179.763,2.17e-05
181.4057,2.41e-05
183.0336,2.66e-05
185.532,2.92e-05
187.165,3.2e-05
189.6994,3.48e-05
191.4024,3.78e-05
193.0256,4.07e-05
195.5907,4.39e-05
197.3003,4.71e-05
198.909,5.03e-05
200.592,5.35e-05
203.1514,5.51e-05
204.7747,5.99e-05
207.268,6.15e-05
208.896,6.46e-05
211.2654,6.76e-05
212.8887,7.06e-05
214.5213,7.35e-05
217.126,7.64e-05
218.6413,7.92e-05
221.125,8.19e-05
222.88,8.44e-05
225.3556,8.67e-05
226.9767,8.88e-05
228.676,9.07e-05
230.3805,9.25e-05
232.848,9.41e-05
234.5427,9.57e-05
237.1177,9.71e-05
238.822,9.82e-05
240.511,9.9e-05
242.994,9.94e-05
244.709,9.97e-05
246.3157,0.0001
248.784,0.0001001
250.3863,9.98e-05
252.9045,9.92e-05
254.6235,9.82e-05
256.2587,9.71e-05
258.7457,9.58e-05
260.451,9.42e-05
263.0355,9.25e-05
264.754,9.06e-05
266.383,8.85e-05
268.855,8.63e-05
270.473,8.41e-05
272.1883,8.18e-05
274.7434,7.94e-05
276.4323,7.67e-05
278.1165,7.36e-05
280.671,7.03e-05
282.4173,6.72e-05
284.035,6.45e-05
286.608,6.18e-05
288.241,5.9e-05
289.865,5.62e-05
292.4447,5.33e-05
294.1075,5.04e-05
295.808,4.72e-05
298.2905,4.4e-05
300.1034,4.07e-05
301.812,3.75e-05
304.193,3.61e-05
305.851,3.33e-05
308.365,3.07e-05
309.9974,2.82e-05
311.621,2.57e-05
314.2164,2.32e-05
315.864,2.09e-05
317.471,1.88e-05
319.171,1.69e-05
321.609,1.51e-05
323.232,1.36e-05
325.7087,1.22e-05
327.342,1.1e-05
329.052,1.01e-05
330.68,9.7e-06
333.2085,9e-06
334.9015,8.6e-06
336.602,8.4e-06
339.084,8.4e-06
340.794,8.6e-06
342.4993,9.1e-06
345.069,9.7e-06
346.763,1.06e-05
348.464,1.17e-05
350.1737,1.3e-05
352.7674,1.45e-05
354.4593,1.61e-05
355.96,1.8e-05
357.881,1.97e-05
358.8055,2.13e-05
359.4577,2.25e-05
359.971,2.34e-05
0.0214,2.39e-05
