Theta,Power
theta,W
-,핀홀_중중
0.5907,1.8e-05
1.64,1.7e-05
2.5755,1.6e-05
3.8684,1.4e-05
5.398,1.2e-05
8.017,1.1e-05
9.604,1e-05
11.994,1.1e-05
13.6984,1.2e-05
15.444,1.4e-05
17.86,1.7e-05
19.601,2e-05
22.0275,2.5e-05
23.774,2.7e-05
25.534,3.3e-05
27.2353,3.9e-05
29.717,4.6e-05
31.4454,5.4e-05
33.981,6.2e-05
35.4806,7.1e-05
37.9524,8e-05
39.586,9.1e-05
41.209,0.000102
43.809,0.000112
45.4673,0.000124
47.1713,0.000135
49.5884,0.000148
51.319,0.00016
52.926,0.000172
55.471,0.000184
57.159,0.000197
59.6736,0.00021
61.3104,0.000223
62.9763,0.000234
65.34,0.000246
67.081,0.000258
69.568,0.00027
71.217,0.000282
72.9475,0.000294
75.4156,0.000304
77.0175,0.000312
79.4424,0.000318
80.963,0.000327
83.44,0.000336
85.0685,0.000342
86.79,0.000347
89.3333,0.000351
91.049,0.000355
93.4497,0.000358
95.0573,0.000361
96.7415,0.000363
99.153,0.000365
100.784,0.000366
103.3286,0.000365
105.08,0.000363
106.7996,0.000362
108.4275,0.00036
110.93,0.000355
112.676,0.00035
114.3047,0.000344
116.8603,0.000338
118.5737,0.000332
121.046,0.000324
122.8073,0.000315
125.157,0.000306
126.7903,0.000301
128.4896,0.000291
130.191,0.00028
132.652,0.00027
135.0424,0.000259
136.808,0.000248
138.558,0.000236
140.289,0.000224
142.9006,0.00021
144.446,0.000198
146.0996,0.000186
148.6793,0.000173
150.272,0.000161
152.76,0.000148
154.3866,0.000136
155.999,0.000124
158.4874,0.000113
160.2997,0.000102
161.9333,9.1e-05
164.5385,8.1e-05
166.2534,7.2e-05
167.948,6.3e-05
170.308,5.4e-05
171.93,4.6e-05
174.3966,3.9e-05
176.0203,3.3e-05
177.736,2.7e-05
180.2185,2.2e-05
181.9287,1.8e-05
184.385,1.5e-05
186.0394,1.3e-05
188.455,1.1e-05
190.078,1.1e-05
191.665,1.1e-05
194.1414,1.2e-05
195.7646,1.4e-05
198.2474,1.6e-05
199.943,2e-05
201.6934,2.4e-05
203.316,3e-05
205.7733,3.6e-05
207.488,4.2e-05
209.97,5e-05
211.6447,5.7e-05
213.9993,6.6e-05
215.6423,7.6e-05
217.2817,8.6e-05
219.651,9.6e-05
222.1326,0.000107
223.766,0.000118
225.307,0.000123
227.831,0.000141
229.4897,0.000147
231.1994,0.00016
233.673,0.000172
235.3965,0.000185
237.772,0.000197
239.508,0.00021
241.142,0.000223
243.6335,0.000235
245.3286,0.000247
247.8176,0.000258
249.562,0.00027
251.2667,0.000281
253.6577,0.000292
255.382,0.000302
257.016,0.000311
259.503,0.00032
261.208,0.000328
262.8876,0.000334
265.3745,0.000341
266.9883,0.000348
269.495,0.000354
271.119,0.000358
272.752,0.000361
275.327,0.000362
276.9444,0.000364
278.6947,0.000364
281.121,0.000365
282.836,0.000366
285.4673,0.000365
287.1614,0.000362
288.693,0.000358
291.247,0.000355
292.8755,0.000351
294.4836,0.000344
297.0815,0.000338
298.747,0.000331
300.492,0.000324
303.057,0.000315
304.674,0.000305
306.302,0.000295
308.7847,0.000284
310.49,0.000275
312.8974,0.000264
314.509,0.000252
317.063,0.000241
318.763,0.00023
320.394,0.000217
322.8566,0.000204
324.47,0.000191
326.2114,0.00018
328.811,0.000174
330.428,0.00016
332.9824,0.000149
334.622,0.000137
336.238,0.000124
338.717,0.000113
340.405,0.000102
342.044,9.1e-05
344.609,8.1e-05
346.1245,7.2e-05
348.6676,6.2e-05
350.3883,5.4e-05
352.1094,4.7e-05
354.583,3.9e-05
356.1373,3.3e-05
357.3187,2.8e-05
358.757,2.4e-05
359.4124,2.1e-05
359.954,2e-05
0.021,1.9e-05
