Theta,Power
theta,W
-,핀홀_중하
0.711,1.65e-05
1.4987,1.64e-05
2.581,1.61e-05
3.9664,1.56e-05
6.5887,1.51e-05
8.4255,1.47e-05
10.254,1.47e-05
12.993,1.51e-05
14.809,1.58e-05
16.6484,1.7e-05
18.4956,1.85e-05
21.2493,2.04e-05
23.0824,2.27e-05
24.905,2.53e-05
26.7315,2.97e-05
29.461,3.3e-05
31.2933,3.65e-05
33.1307,4e-05
34.9633,4.37e-05
37.728,4.78e-05
39.565,5.24e-05
41.414,5.75e-05
43.25,6.31e-05
45.074,6.88e-05
47.817,7.46e-05
49.6603,8.06e-05
51.493,8.66e-05
54.263,9.23e-05
56.0896,9.8e-05
57.9113,0.0001038
59.7346,0.0001122
62.4835,0.0001177
64.315,0.000123
66.149,0.000128
67.9814,0.000133
69.8135,0.0001378
72.5734,0.0001424
74.406,0.0001468
76.218,0.0001512
78.937,0.0001551
80.7953,0.0001587
82.612,0.0001621
84.4387,0.0001653
87.203,0.0001679
89.0156,0.0001704
90.869,0.0001725
92.6965,0.000175
94.5254,0.000176
97.2734,0.0001767
99.101,0.000177
100.9183,0.000177
103.667,0.0001766
105.4884,0.0001758
107.323,0.0001745
109.1485,0.0001728
111.9084,0.0001708
113.7426,0.0001684
115.6007,0.0001656
117.427,0.0001624
119.2493,0.0001591
121.9785,0.0001556
123.7997,0.0001516
125.644,0.0001473
128.393,0.0001402
130.2196,0.0001354
132.0616,0.0001307
133.88,0.0001261
136.634,0.0001209
138.456,0.0001155
140.284,0.0001099
142.1114,0.0001042
144.8244,9.84e-05
146.6524,9.26e-05
148.4996,8.69e-05
150.3437,8.12e-05
153.1025,7.56e-05
154.9404,7.01e-05
156.762,6.47e-05
158.589,5.95e-05
161.344,5.44e-05
163.1565,4.73e-05
164.994,4.28e-05
166.8473,3.86e-05
169.581,3.47e-05
171.4236,3.12e-05
173.266,2.79e-05
175.1144,2.5e-05
177.879,2.25e-05
179.676,2.03e-05
181.5026,1.85e-05
183.326,1.7e-05
186.0904,1.6e-05
187.9127,1.51e-05
189.756,1.51e-05
192.5146,1.54e-05
194.3477,1.61e-05
196.174,1.72e-05
198.0083,1.88e-05
199.844,2.07e-05
202.5883,2.3e-05
204.4235,2.57e-05
206.2333,2.87e-05
208.066,3.2e-05
210.8055,3.56e-05
212.6485,3.94e-05
214.475,4.36e-05
217.2306,4.8e-05
219.0586,5.26e-05
220.89,6e-05
222.7337,6.52e-05
224.5653,7.05e-05
227.3085,7.59e-05
229.167,8.14e-05
231,8.69e-05
233.75,9.25e-05
235.576,9.8e-05
237.3844,0.0001037
239.196,0.0001092
241.948,0.0001147
243.747,0.0001201
245.564,0.0001256
247.406,0.0001308
250.14,0.0001358
251.9777,0.0001405
253.821,0.0001453
255.639,0.0001516
257.4715,0.0001556
260.2095,0.0001591
262.0473,0.0001624
263.8904,0.0001654
266.644,0.0001678
268.4824,0.0001703
270.2843,0.0001717
272.101,0.0001735
274.86,0.0001747
276.694,0.0001754
278.5046,0.000176
280.3377,0.000176
282.181,0.0001758
284.9245,0.0001746
286.7415,0.0001733
288.57,0.000172
291.334,0.0001689
293.1714,0.0001663
295.0045,0.0001635
296.826,0.0001605
299.5637,0.0001572
301.3776,0.0001536
303.2055,0.0001496
305.0475,0.0001453
306.88,0.0001408
309.635,0.0001361
311.4727,0.0001311
313.3053,0.0001261
316.0444,0.0001208
317.866,0.0001152
319.699,0.0001068
322.422,0.0001015
324.255,9.62e-05
326.103,9.08e-05
327.935,8.53e-05
330.69,7.99e-05
332.543,7.45e-05
334.3603,6.91e-05
336.1934,6.39e-05
338.916,5.88e-05
340.7323,5.38e-05
342.551,4.9e-05
344.3715,4.45e-05
346.2005,4.02e-05
348.94,3.62e-05
350.757,3.25e-05
352.584,2.76e-05
354.411,2.48e-05
356.8124,2.23e-05
358.0496,2.05e-05
358.9826,1.92e-05
359.826,1.84e-05
0.018,1.78e-05
